FECHA (YYMMDD);HORA (HHMM);;
352,5-7,51,9%
7,5-22,51,3%
22,5-37,51,9%
37,5-52,53,0%
52,5-67,56,2%
67,5-82,58,5%
82,5-97,56,4%
97,5-112,53,8%
112,5-127,52,5%
127,5-142,51,9%
142,5-157,51,6%
157,5-172,51,4%
172,5-187,51,5%
187,5-202,51,7%
202,5-217,52,6%
217,5-232,55,4%
232,5-247,511,3%
247,5-262,519,5%
262,5-277,58,8%
277,5-292,53,3%
292,5-307,51,9%
307,5-322,51,4%
322,5-337,51,2%
337,5-352,51,0%
