FECHA (YYMMDD);HORA (HHMM);;
101226;0900;25,2833;
101226;1000;26,6166;
101226;1100;27,7416;
101226;1200;29,0166;
101226;1300;29,3333;
101226;1400;29,2833;
101226;1500;29,4417;
101226;1600;29,4333;
101226;1700;28,425;
101226;1800;26,35;
101226;1900;22,6416;
101226;2000;19,45;
101226;2100;17,8333;
101226;2200;16,325;
101226;2300;16,7916;
101227;0000;14,9417;
101227;0100;14,6;
101227;0200;13,8833;
101227;0300;14,15;
101227;0400;10,65;
101227;0500;13,5417;
101227;0600;16,4333;
101227;0700;19,1833;
101227;0800;21,625;
101227;0900;24,35;
101227;1000;25,625;
101227;1100;26,35;
101227;1200;27,0916;
101227;1300;28,3833;
101227;1400;28,8916;
101227;1500;29;
101227;1600;28,6667;
101227;1700;27,4916;
101227;1800;25,1083;
101227;1900;22,1;
101227;2000;19,5333;
101227;2100;18,3833;
101227;2200;17,1583;
101227;2300;16,2833;
101228;0000;15,025;
101228;0100;14,8333;
101228;0200;14,0083;
101228;0300;13,5083;
101228;0400;14,2083;
101228;0500;13,2333;
101228;0600;15,2166;
101228;0700;18,375;
101228;0800;21,5667;
101228;0900;23,5417;
101228;1000;24,8416;
101228;1100;26,2833;
101228;1200;27,625;
101228;1300;28,625;
101228;1400;28,1;
101228;1500;27,775;
101228;1600;26,875;
101228;1700;25,25;
101228;1800;22,8583;
101228;1900;19,9333;
101228;2000;18,1833;
101228;2100;17,25;
101228;2200;16,325;
101228;2300;15,2583;
101229;0000;14,4917;
101229;0100;13,6083;
101229;0200;12,8;
101229;0300;12,3167;
101229;0400;11,8833;
101229;0500;11,2833;
101229;0600;11,7583;
101229;0700;12,8583;
101229;0800;14,5667;
101229;0900;18,925;
101229;1000;22,3416;
101229;1100;24,2916;
101229;1200;25,7917;
101229;1300;25,2833;
101229;1400;25,1416;
101229;1500;25,5333;
101229;1600;24,9583;
101229;1700;23,9833;
101229;1800;21,675;
101229;1900;19,7;
101229;2000;17,3;
