"DateYYMMDD","TimeHHMM","CO_CerroNavia","CO_ElBosque","CO_Independencia","CO_LasCondes","CO_OHiggins","CO_PuenteAlto","CO_Talagante","Hum_CerroNavia","Hum_ElBosque","Hum_Independencia","Hum_LasCondes","Hum_OHiggins","Hum_PuenteAlto","Hum_Talagante","SO2_ElBosque","SO2_PuenteAlto","SO2_Talagante","Temp_CerroNavia","Temp_ElBosque","Temp_Independencia","Temp_LasCondes","Temp_OHiggins","Temp_PuenteAlto","Temp_Talagante","WindSpeed_CerroNavia","WindSpeed_ElBosque","WindSpeed_Independencia","WindSpeed_LasCondes","WindSpeed_OHiggins","WindSpeed_PuenteAlto","WindSpeed_Talagante"
180201,2300,0.41,0.36,0.11,0.47,0.33,0.15,0.11,58.8333,55.4196,50.9167,50.3333,55.0029,59.5862,89.8391,1,3.57,1,18.575,19.5098,22.2917,20.275,19.3765,19.1432,13.0924,1.14594,0.563402,1.06149,0.494374,0.643629,0.899804,0.462913
180201,300,0.28,0.35,0.23,0.23,0.34,0.24,0.11,53.5,59.5861,48.5833,59.0833,53.0861,58.2529,84.5059,1,3.32,1,15.7917,16.7764,19.9917,17.3,16.1847,17.4264,10.3674,0.162553,0.544481,0.840301,1.53123,0.448622,0.73443,0.167973
180201,400,0.3,0.42,0.18,0.17,0.36,0.19,0.11,53.5833,61.7521,50.1667,60.5,55.6688,60.5022,85.7544,1,3.24,1,15.5083,16.2843,19.3667,17.125,15.7672,17.0177,10.2838,0.151762,0.544481,0.621737,1.73533,0.28647,0.584107,0.128971
180201,500,0.29,0.54,0.18,0.23,0.34,0.34,0.12,53.0833,63.418,52,58.5833,56.918,62.2515,88.4197,1,3.32,1,15.05,15.9503,18.5917,16.95,15.4086,16.7424,9.62537,0.151762,0.544481,0.603854,1.91667,0.469316,0.609821,0.0295376
180201,600,0.56,0.93,0.35,0.41,0.44,0.58,0.32,55.6667,63.1674,53.75,60.5,57.1674,60.2507,88.6667,1,3.32,1,14.9167,16.5336,18.4917,16.8917,15.5835,17.0586,9.65018,0.118801,0.544481,0.928802,2.31186,0.355476,0.926164,0.0622966
180201,700,0.64,1.14,0.4,0.49,0.8,0.55,0.23,48.6667,50.25,45.75,48.9167,45.4167,48.9167,76.3333,1,3.32,1,17.95,20.6,20.9917,19.775,19.5167,20.5417,13.375,0.509571,0.576523,0.764342,1.68029,0.948737,0.743032,0.320926
180201,800,0.48,0.81,0.29,0.48,0.63,0.41,0.16,40.0833,41.0139,36.8333,37.6667,37.9306,39.8472,64.4167,1,3.32,1,21.05,23.1819,24.0833,23.25,22.7487,23.4903,17.0333,0.691371,0.911175,0.563572,2.41991,0.83193,0.335891,0.804175
180201,900,0.32,0.55,0.21,0.53,0.37,0.47,0.12,33.25,35.5965,32.0833,35,32.5965,36.3465,55.5132,1,3.32,1,24.4917,25.6816,26.8167,24.6083,25.6899,25.6483,20.4983,0.730229,0.911175,0.250246,1.96777,0.768831,1.08395,1.09146
180202,0,0.35,0.3,0.1,0.49,0.36,0.13,0.11,63.25,63.0022,54.6689,53.8333,58.6689,63.0023,92.9211,1,3.32,1,17.675,18.3511,21.4511,19.6083,18.4678,18.2844,12.2088,0.695075,0.556726,0.631547,0.756292,0.768206,0.978313,0.194219
180202,100,0.28,0.27,0.11,0.47,0.3,0.12,0.11,67.8333,64.8362,60.0848,63.9167,63.2515,64.6697,94.5029,1,3.32,1,16.6,17.8507,20.284,17.925,17.5174,17.7007,11.8837,1.06429,0.530313,0.878915,0.277051,0.69807,0.558562,0.250808
