FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090206;0000;1;;;
090206;0100;1;;;
090206;0200;1;;;
090206;0300;1;;;
090206;0400;1;;;
090206;0500;1;;;
090206;0600;1;;;
090206;0700;2;;;
090206;0800;2;;;
090206;0900;2;;;
090206;1000;3;;;
090206;1100;6;;;
090206;1200;23;;;
090206;1300;17;;;
090206;1400;11;;;
090206;1500;6;;;
090206;1600;2;;;
090206;1700;1;;;
090206;1800;1;;;
090206;1900;1;;;
090206;2000;1;;;
090206;2100;1;;;
090206;2200;1;;;
090206;2300;1;;;
090207;0000;1;;;
090207;0100;1;;;
090207;0200;3;;;
090207;0300;1;;;
090207;0400;12;;;
090207;0500;1;;;
090207;0600;1;;;
090207;0700;1;;;
090207;0800;2;;;
090207;0900;2;;;
090207;1000;2;;;
090207;1100;3;;;
090207;1200;1;;;
090207;1300;1;;;
090207;1400;2;;;
090207;1500;1;;;
090207;1600;1;;;
090207;1700;1;;;
090207;1800;1;;;
090207;1900;1;;;
090207;2000;1;;;
090207;2100;1;;;
090207;2200;1;;;
090207;2300;1;;;
090208;0000;1;;;
090208;0100;1;;;
090208;0200;1;;;
090208;0300;1;;;
090208;0400;1;;;
090208;0500;1;;;
090208;0600;1;;;
090208;0700;1;;;
090208;0800;1;;;
090208;0900;1;;;
090208;1000;2;;;
090208;1100;5;;;
090208;1200;14;;;
090208;1300;4;;;
090208;1400;2;;;
090208;1500;2;;;
090208;1600;2;;;
090208;1700;2;;;
090208;1800;1;;;
090208;1900;1;;;
090208;2000;1;;;
090208;2100;1;;;
090208;2200;1;;;
090208;2300;1;;;
090209;0000;1;;;
090209;0100;1;;;
090209;0200;1;;;
090209;0300;1;;;
090209;0400;1;;;
090209;0500;1;;;
090209;0600;1;;;
090209;0700;1;;;
090209;0800;5;;;
090209;0900;2;;;
090209;1000;3;;;
090209;1100;4;;;
090209;1200;2;;;
090209;1300;2;;;
090209;1400;2;;;
090209;1500;3;;;
090209;1600;2;;;
090209;1700;3;;;
090209;1800;2;;;
090209;1900;1;;;
090209;2000;1;;;
090209;2100;1;;;
090209;2200;1;;;
090209;2300;1;;;
090210;0000;1;;;
090210;0100;2;;;
090210;0200;2;;;
090210;0300;2;;;
090210;0400;2;;;
090210;0500;1;;;
090210;0600;1;;;
090210;0700;1;;;
090210;0800;2;;;
090210;0900;1;;;
090210;1000;3;;;
090210;1100;5;;;
090210;1200;2;;;
090210;1300;4;;;
090210;1400;4;;;
090210;1500;6;;;
090210;1600;4;;;
090210;1700;2;;;
090210;1800;1;;;
090210;1900;1;;;
090210;2000;1;;;
090210;2100;1;;;
090210;2200;1;;;
