FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
010401;2100;2,5;;;
010401;2200;3,7;;;
010401;2300;4,5;;;
010402;0000;2,3;;;
010402;0100;1,3;;;
010402;0200;1,5;;;
010402;0300;1,6;;;
010402;0400;1,8;;;
010402;0500;1,8;;;
010402;0600;2;;;
010402;0700;3,6;;;
010402;0800;2,7;;;
010402;0900;1,9;;;
010402;1000;1,3;;;
010402;1100;0,9;;;
010402;1200;0,599998;;;
010402;1300;0,599998;;;
010402;1400;0,5;;;
010402;1500;0,4;;;
010402;1600;0,4;;;
010402;1700;0,5;;;
010402;1800;0,599998;;;
010402;1900;0,799997;;;
010402;2000;0,9;;;
010402;2100;1,1;;;
010402;2200;0,9;;;
010402;2300;0,9;;;
010403;0000;0,9;;;
010403;0100;1;;;
010403;0200;1,2;;;
010403;0300;1,2;;;
010403;0400;1,1;;;
010403;0500;0,9;;;
010403;0600;1,1;;;
010403;0700;2,1;;;
010403;0800;2,3;;;
010403;0900;1,1;;;
010403;1000;0,799997;;;
010403;1100;0,9;;;
010403;1200;0,799997;;;
010403;1300;0,7;;;
010403;1400;0,599998;;;
010403;1500;0,599998;;;
010403;1600;0,599998;;;
010403;1700;0,7;;;
010403;1800;0,799997;;;
010403;1900;0,9;;;
010403;2000;0,9;;;
010403;2100;1,1;;;
010403;2200;1,1;;;
010403;2300;0,9;;;
010404;0000;0,7;;;
010404;0100;0,599998;;;
010404;0200;0,599998;;;
010404;0300;0,5;;;
010404;0400;0,599998;;;
010404;0500;0,7;;;
010404;0600;0,799997;;;
010404;0700;1;;;
010404;0800;1,1;;;
010404;0900;0,9;;;
010404;1000;1,2;;;
010404;1100;1;;;
010404;1200;0,799997;;;
010404;1300;0,7;;;
010404;1400;0,7;;;
010404;1500;0,7;;;
010404;1600;0,7;;;
010404;1700;0,7;;;
010404;1800;0,799997;;;
010404;1900;1,1;;;
010404;2000;1,2;;;
010404;2100;1,2;;;
010404;2200;1,1;;;
010404;2300;1,2;;;
010405;0000;0,9;;;
010405;0100;1;;;
010405;0200;1;;;
010405;0300;1,1;;;
010405;0400;1,2;;;
010405;0500;1,2;;;
010405;0600;1,8;;;
010405;0700;3,1;;;
010405;0800;2,1;;;
010405;0900;1,3;;;
010405;1000;1,2;;;
010405;1100;0,9;;;
010405;1200;0,7;;;
010405;1300;0,599998;;;
010405;1400;0,599998;;;
010405;1500;0,5;;;
010405;1600;0,5;;;
010405;1700;0,599998;;;
010405;1800;1;;;
010405;1900;3;;;
010405;2000;3,4;;;
010405;2100;4,5;;;
010405;2200;5,6;;;
010405;2300;5;;;
010406;0000;3,9;;;
010406;0100;3,7;;;
010406;0200;3,7;;;
010406;0300;3,7;;;
010406;0400;3,9;;;
010406;0500;3,8;;;
010406;0600;4,2;;;
010406;0700;4,1;;;
010406;0800;2,9;;;
010406;0900;1,8;;;
010406;1000;1,4;;;
010406;1100;0,9;;;
010406;1200;0,7;;;
010406;1300;0,7;;;
010406;1400;0,599998;;;
010406;1500;0,5;;;
010406;1600;0,5;;;
010406;1700;0,7;;;
010406;1800;0,799997;;;
010406;1900;1;;;
010406;2000;1,1;;;
010406;2100;1,2;;;
010406;2200;1,1;;;
010406;2300;1,1;;;
010407;0000;0,9;;;
010407;0100;0,799997;;;
010407;0200;0,7;;;
010407;0300;0,7;;;
010407;0400;0,7;;;
010407;0500;0,7;;;
010407;0600;0,799997;;;
