FECHA (YYMMDD);HORA (HHMM);;
031226;1300;26,3333;
031226;1400;26,7583;
031226;1500;27,2333;
031226;1600;27,05;
031226;1700;26,025;
031226;1800;24,6333;
031226;1900;22,625;
031226;2000;20,05;
031226;2100;18,475;
031226;2200;17,4666;
031226;2300;16,4;
031227;0000;15,375;
031227;0100;14,5;
031227;0200;13,5917;
031227;0300;12,725;
031227;0400;12,1167;
031227;0500;11,65;
031227;0600;12,5166;
031227;0700;13,55;
031227;0800;15,225;
031227;0900;17,3167;
031227;1000;18,4833;
031227;1100;20,4417;
031227;1200;22,3083;
031227;1300;23,6166;
031227;1400;24,8167;
031227;1500;26;
031227;1600;26,6083;
031227;1700;26,55;
031227;1800;25,9666;
031227;1900;24,0916;
031227;2000;21,7083;
031227;2100;19,725;
031227;2200;18,2666;
031227;2300;16,8833;
031228;0000;15,7;
031228;0100;14,9667;
031228;0200;14,2417;
031228;0300;13,3667;
031228;0400;12,7666;
031228;0500;12,3;
031228;0600;14,25;
031228;0700;15,9833;
031228;0800;18,7917;
031228;0900;21,8167;
031228;1000;23,6917;
031228;1100;25,3583;
031228;1200;27,0583;
031228;1300;28,4666;
031228;1400;29,625;
031228;1500;30,1667;
031228;1600;30,425;
031228;1700;30,0166;
031228;1800;28,9583;
031228;1900;26,1083;
031228;2000;22,25;
031228;2100;20,6166;
031228;2200;19,775;
031228;2300;19,2416;
031229;0000;18,55;
031229;0100;17,0333;
031229;0200;15,8416;
031229;0300;15,4333;
031229;0400;15,075;
031229;0500;14,675;
031229;0600;15,6583;
031229;0700;17,7166;
031229;0800;19,7916;
031229;0900;21,8833;
031229;1000;23,35;
031229;1100;25,0083;
031229;1200;25,925;
031229;1300;27,0583;
031229;1400;27,85;
031229;1500;28,0833;
031229;1600;27,3666;
031229;1700;26,225;
031229;1800;24,8083;
031229;1900;23,05;
031229;2000;21,425;
031229;2100;20,1666;
031229;2200;19,0833;
031229;2300;17,275;
031230;0000;16,175;
031230;0100;15,2;
031230;0200;14,3916;
031230;0300;14,1667;
031230;0400;13,925;
031230;0500;13,8667;
031230;0600;15,2583;
031230;0700;18,3583;
031230;0800;20,5583;
031230;0900;23,675;
031230;1000;25,8416;
031230;1100;27,1666;
031230;1200;28,075;
031230;1300;29,1;
031230;1400;29,825;
031230;1500;29,3916;
031230;1600;28,6333;
031230;1700;28,0916;
031230;1800;26,9166;
031230;1900;24,5416;
031230;2000;21,85;
031230;2100;20,3916;
031230;2200;19,3;
031230;2300;18,5583;
031231;0000;17,3;
031231;0100;15,9666;
031231;0200;15,175;
031231;0300;15,2417;
031231;0400;14,975;
031231;0500;15,075;
031231;0600;16,4833;
031231;0700;18,7166;
031231;0800;22,0667;
031231;0900;23,6;
031231;1000;25,225;
031231;1100;26,55;
031231;1200;27,275;
031231;1300;28,2833;
031231;1400;28,5833;
031231;1500;28,6166;
031231;1600;28,5083;
031231;1700;28,1416;
031231;1800;27,0833;
031231;1900;24,2916;
031231;2000;21,4333;
031231;2100;20,1833;
031231;2200;19,1917;
031231;2300;18,4666;
040101;0000;17,325;
040101;0100;15,975;
040101;0200;15,225;
040101;0300;15,0583;
040101;0400;14,675;
040101;0500;14,5667;
040101;0600;15,7666;
040101;0700;19,05;
040101;0800;21,1583;
040101;0900;23,7583;
040101;1000;25,3833;
040101;1100;26,8666;
040101;1200;28,2583;
040101;1300;28,5583;
040101;1400;29,4333;
040101;1500;29,9583;
040101;1600;29,575;
040101;1700;28,7416;
040101;1800;27,85;
040101;1900;24,8583;
040101;2000;21,7833;
040101;2100;20,575;
040101;2200;19,6833;
040101;2300;17,4916;
040102;0000;16,375;
040102;0100;15,65;
040102;0200;15,4083;
040102;0300;15,175;
040102;0400;14,9417;
040102;0500;14,8083;
040102;0600;16,4583;
040102;0700;18,6083;
040102;0800;21,7833;
040102;0900;24,4167;
040102;1000;26,4916;
040102;1100;28,0166;
040102;1200;29,9666;
040102;1300;31,0333;
040102;1400;31,6416;
040102;1500;32,0499;
040102;1600;31,525;
040102;1700;30,175;
040102;1800;28,5833;
040102;1900;25,4666;
040102;2000;22,7166;
040102;2100;21,4417;
040102;2200;20,2;
040102;2300;18,5166;
040103;0000;17,0417;
040103;0100;14,9167;
040103;0200;14,5667;
040103;0300;14,4583;
040103;0400;14,5083;
040103;0500;14,4833;
040103;0600;15,8416;
040103;0700;18,325;
040103;0800;21,1333;
040103;0900;23,3583;
040103;1000;26,2;
040103;1100;28,4916;
040103;1200;29,2916;
040103;1300;30,4;
040103;1400;30,7666;
040103;1500;30,7916;
040103;1600;30,2083;
040103;1700;28,7833;
040103;1800;28,2833;
040103;1900;25,9333;
040103;2000;22,3333;
040103;2100;20,625;
040103;2200;19,0166;
040103;2300;17,4417;
040104;0000;15,3333;
040104;0100;14,5667;
040104;0200;13,575;
040104;0300;13,2;
040104;0400;12,6416;
040104;0500;12,5583;
040104;0600;12,55;
040104;0700;17,025;
040104;0800;19,975;
040104;0900;23,4;
040104;1000;25,6333;
040104;1100;27,4083;
040104;1200;28,575;
040104;1300;29,2833;
040104;1400;29,8;
040104;1500;29,2583;
040104;1600;29,175;
040104;1700;28,1583;
040104;1800;26,4833;
040104;1900;23,5;
040104;2000;20,4083;
040104;2100;18,6583;
040104;2200;17,1667;
040104;2300;16,3916;
040105;0000;16,125;
040105;0100;15,25;
040105;0200;14,1333;
040105;0300;13,9667;
040105;0400;14;
040105;0500;13,7167;
040105;0600;15,2583;
040105;0700;16,8666;
040105;0800;19,4916;
040105;0900;23,1166;
040105;1000;25,2666;
040105;1100;26,1416;
040105;1200;27,9417;
040105;1300;29,2833;
040105;1400;30,2583;
040105;1500;30,6583;
040105;1600;30,7333;
040105;1700;29,9417;
040105;1800;28,8083;
040105;1900;27;
040105;2000;24,7833;
040105;2100;23,4833;
040105;2200;21,9916;
040105;2300;20,9083;
040106;0000;19,925;
040106;0100;19,2166;
040106;0200;18,5583;
040106;0300;17,5166;
040106;0400;16,9916;
040106;0500;16,5;
040106;0600;17,5417;
040106;0700;19,9167;
040106;0800;21,425;
040106;0900;23,5417;
040106;1000;25,3416;
040106;1100;26,8;
040106;1200;28,0583;
040106;1300;29,2666;
040106;1400;29,5583;
040106;1500;29,5667;
040106;1600;29,2416;
040106;1700;28,2;
040106;1800;26,7833;
040106;1900;23,825;
040106;2000;20,925;
040106;2100;18,8666;
040106;2200;17,6416;
040106;2300;16,3333;
040107;0000;15,1167;
040107;0100;14,6917;
040107;0200;14,2833;
040107;0300;14,025;
040107;0400;14,0083;
040107;0500;14,225;
040107;0600;15,8;
040107;0700;17,5083;
040107;0800;19,7916;
040107;0900;22,9167;
040107;1000;24,0273;
040107;1100;25,4083;
