FECHA (YYMMDD);HORA (HHMM);;
090204;0100;-39,2333;
090204;0200;-39,2416;
090204;0300;-39,2249;
090204;0400;-39,2083;
090204;0500;-39,2;
090204;0600;-39,2;
090204;0700;-39,2916;
090204;0800;-39,2499;
090204;0900;-39,2;
090204;1000;-39,2083;
090204;1100;-39,2;
090204;1200;-39,2;
090204;1300;-39,2166;
090204;1400;-39,2083;
090204;1500;-39,2166;
090204;1600;-39,2166;
090204;1700;-39,2666;
090204;1800;-39,2166;
090204;1900;-39,2083;
090204;2000;-39,2083;
090204;2100;-39,2166;
090204;2200;-39,2083;
090204;2300;-39,2;
090205;0000;-39,2333;
090205;0100;-39,2083;
090205;0200;-39,2083;
090205;0300;-39,2083;
090205;0400;-39,2;
090205;0500;-39,2;
090205;0600;-39,2;
090205;0700;-39,2083;
090205;0800;-39,275;
090205;0900;-39,2166;
090205;1000;-39,2083;
090205;1100;-39,2916;
090205;1200;-39,2916;
090205;1300;-39,2833;
090205;1400;-39,2333;
090205;1500;-39,2333;
090205;1600;-39,2333;
090205;1700;-39,2416;
090205;1800;-39,2083;
090205;1900;-39,2;
090205;2000;-39,2;
090205;2100;-39,2;
090205;2200;-39,2083;
090205;2300;-39,2333;
090206;0000;-39,2166;
090206;0100;-39,3333;
090206;0200;-39,3167;
090206;0300;-39,3333;
090206;0400;-39,3833;
090206;0500;-39,3916;
090206;0600;-39,4;
090206;0700;-39,4;
090206;0800;-39,4;
090206;0900;-39,4;
090206;1000;-39,45;
090206;1100;-39,4249;
090206;1200;-39,5;
090206;1300;-39,5;
090206;1400;-39,5;
090206;1500;-39,5;
090206;1600;-39,5;
090206;1700;-39,5416;
090206;1800;-39,5333;
090206;1900;-39,525;
090206;2000;-39,5;
090206;2100;-39,5083;
090206;2200;-39,5167;
090206;2300;-39,5;
090207;0000;-39,5;
090207;0100;-39,4916;
090207;0200;-39,4249;
090207;0300;-39,4333;
090207;0400;-39,4249;
090207;0500;-39,4333;
090207;0600;-39,4;
090207;0700;-39,4;
090207;0800;-39,4833;
090207;0900;-39,4083;
090207;1000;-39,5;
090207;1100;-39,5;
090207;1200;-39,5;
090207;1300;-39,4916;
090207;1400;-39,5;
090207;1500;-39,5167;
090207;1600;-39,5916;
090207;1700;-39,575;
090207;1800;-39,5416;
090207;1900;-39,5;
090207;2000;-39,5;
090207;2100;-39,5;
090207;2200;-39,5;
090207;2300;-39,5;
090208;0000;;
090208;0100;;
090208;0200;-39,4416;
090208;0300;-39,4666;
090208;0400;-39,4583;
090208;0500;-39,475;
090208;0600;-39,5;
090208;0700;-39,475;
090208;0800;-39,4833;
090208;0900;-39,5;
090208;1000;-39,475;
090208;1100;-39,5;
090208;1200;-39,5;
090208;1300;-39,525;
090208;1400;-39,5167;
090208;1500;-39,5167;
090208;1600;-39,575;
090208;1700;-39,575;
090208;1800;-39,6;
090208;1900;-39,5833;
090208;2000;-39,5416;
090208;2100;-39,5;
090208;2200;-39,5667;
090208;2300;-39,5;
090209;0000;-39,5;
090209;0100;-39,5;
090209;0200;-39,4833;
090209;0300;-39,4666;
090209;0400;-39,4833;
090209;0500;-39,4583;
090209;0600;-39,4333;
090209;0700;-39,4166;
090209;0800;-39,4416;
090209;0900;-39,4416;
090209;1000;-39,5;
090209;1100;-39,5;
090209;1200;-39,5;
090209;1300;-39,55;
090209;1400;-39,6;
090209;1500;-39,5916;
090209;1600;-39,5833;
090209;1700;-39,5167;
090209;1800;-39,5;
090209;1900;-39,5;
090209;2000;-39,5;
090209;2100;-39,4833;
090209;2200;-39,5167;
090209;2300;-39,5;
090210;0000;-39,5;
090210;0100;-39,4916;
090210;0200;-39,5083;
090210;0300;-39,5;
090210;0400;-39,475;
090210;0500;-39,475;
090210;0600;-39,4916;
090210;0700;-39,4916;
090210;0800;-39,5667;
090210;0900;-39,4916;
090210;1000;-39,5;
090210;1100;-39,5;
090210;1200;-39,5083;
090210;1300;-39,525;
090210;1400;-39,5;
090210;1500;-39,5167;
090210;1600;-39,6;
090210;1700;-39,5667;
090210;1800;-39,5583;
090210;1900;-39,5667;
090210;2000;-39,5333;
090210;2100;-39,5083;
090210;2200;-39,525;
090210;2300;-39,6;
090211;0000;-39,5;
090211;0100;-39,5083;
090211;0200;-39,5083;
090211;0300;-39,4916;
090211;0400;-39,4916;
090211;0500;-39,5;
090211;0600;-39,5;
090211;0700;-39,5;
090211;0800;-39,5083;
090211;0900;-39,5;
090211;1000;-39,5;
090211;1100;-39,5916;
090211;1200;-39,5583;
090211;1300;-39,55;
090211;1400;-39,5916;
090211;1500;-39,5916;
090211;1600;-39,5333;
090211;1700;-39,6;
090211;1800;-39,575;
090211;1900;-39,5083;
090211;2000;-39,6;
090211;2100;-39,6;
090211;2200;-39,6083;
090211;2300;-39,6;
090212;0000;-39,6;
090212;0100;-39,5916;
090212;0200;-39,5;
090212;0300;-39,5167;
090212;0400;-39,5;
090212;0500;-39,5;
090212;0600;-39,5;
090212;0700;-39,5;
090212;0800;-39,525;
090212;0900;-39,5;
090212;1000;-39,5167;
090212;1100;-39,5416;
090212;1200;-39,4333;
090212;1300;-39,5;
090212;1400;-39,5;
090212;1500;-39,5833;
090212;1600;-39,5583;
090212;1700;-39,5833;
090212;1800;-39,5;
090212;1900;-39,5167;
090212;2000;-39,5;
090212;2100;-39,5083;
090212;2200;-39,5;
090212;2300;-39,5;
090213;0000;-39,4666;
090213;0100;-39,4416;
090213;0200;-39,4083;
090213;0300;-39,4;
090213;0400;-39,4;
090213;0500;-39,4;
090213;0600;-39,4;
090213;0700;;
090213;0800;-39,475;
090213;0900;-39,4583;
090213;1000;-39,4666;
090213;1100;-39,4416;
090213;1200;-39,4916;
090213;1300;-39,5;
090213;1400;-39,5167;
090213;1500;-39,5;
090213;1600;-39,5583;
090213;1700;-39,6;
090213;1800;-39,5833;
090213;1900;-39,5416;
090213;2000;-39,5916;
090213;2100;-39,5583;
090213;2200;-39,5167;
090213;2300;-39,5167;
090214;0000;-39,5;
090214;0100;-39,5;
090214;0200;-39,5;
090214;0300;-39,5;
090214;0400;-39,475;
090214;0500;-39,475;
090214;0600;-39,4583;
090214;0700;-39,4833;
090214;0800;-39,5;
090214;0900;-39,4666;
090214;1000;-39,4833;
090214;1100;-39,4916;
090214;1200;-39,5;
090214;1300;-39,5083;
090214;1400;-39,5333;
090214;1500;-39,5916;
090214;1600;-39,6;
090214;1700;-39,6;
090214;1800;-39,5916;
090214;1900;-39,5833;
090214;2000;-39,5167;
090214;2100;-39,5;
090214;2200;-39,5;
090214;2300;-39,5;
090215;0000;-39,4916;
090215;0100;-39,475;
090215;0200;-39,4416;
090215;0300;-39,45;
090215;0400;-39,4083;
