FECHA (YYMMDD);HORA (HHMM);;
352,5-7,51,8%
7,5-22,51,5%
22,5-37,51,3%
37,5-52,51,4%
52,5-67,51,4%
67,5-82,51,5%
82,5-97,51,5%
97,5-112,51,5%
112,5-127,51,4%
127,5-142,51,8%
142,5-157,52,4%
157,5-172,54,2%
172,5-187,57,6%
187,5-202,511,9%
202,5-217,517,6%
217,5-232,517,2%
232,5-247,57,0%
247,5-262,53,1%
262,5-277,52,2%
277,5-292,52,1%
292,5-307,52,2%
307,5-322,52,6%
322,5-337,52,6%
337,5-352,52,2%
