FECHA (YYMMDD);HORA (HHMM);;
352,5-7,51,4%
7,5-22,51,2%
22,5-37,51,2%
37,5-52,51,3%
52,5-67,52,1%
67,5-82,54,1%
82,5-97,57,9%
97,5-112,56,7%
112,5-127,55,1%
127,5-142,54,2%
142,5-157,53,2%
157,5-172,52,4%
172,5-187,52,0%
187,5-202,51,9%
202,5-217,52,5%
217,5-232,54,1%
232,5-247,58,8%
247,5-262,516,3%
262,5-277,57,3%
277,5-292,56,2%
292,5-307,53,8%
307,5-322,52,6%
322,5-337,52,0%
337,5-352,51,7%
