FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970607;1100;9;;;
970607;1200;12;;;
970607;1300;9;;;
970607;1400;6;;;
970607;1500;6;;;
970607;1600;6;;;
970607;1700;7;;;
970607;1800;11;;;
970607;1900;13;;;
970607;2000;13;;;
970607;2100;11;;;
970607;2200;12;;;
970607;2300;12;;;
970608;0000;10;;;
970608;0100;10;;;
970608;0200;8;;;
970608;0300;8;;;
970608;0400;6;;;
970608;0500;5;;;
970608;0600;5;;;
970608;0700;6;;;
970608;0800;8;;;
970608;0900;10;;;
970608;1000;15;;;
970608;1100;10;;;
970608;1200;13;;;
970608;1300;11;;;
970608;1400;10;;;
970608;1500;9;;;
970608;1600;13;;;
970608;1700;11;;;
970608;1800;11;;;
970608;1900;12;;;
970608;2000;12;;;
970608;2100;12;;;
970608;2200;13;;;
970608;2300;11;;;
970609;0000;9;;;
970609;0100;7;;;
970609;0200;7;;;
970609;0300;5;;;
970609;0400;5;;;
970609;0500;5;;;
970609;0600;6;;;
970609;0700;8;;;
970609;0800;9;;;
970609;0900;9;;;
970609;1000;9;;;
970609;1100;9;;;
970609;1200;8;;;
970609;1300;7;;;
970609;1400;8;;;
970609;1500;6;;;
970609;1600;5;;;
970609;1700;6;;;
970609;1800;10;;;
970609;1900;10;;;
970609;2000;12;;;
970609;2100;11;;;
970609;2200;12;;;
970609;2300;9;;;
970610;0000;9;;;
970610;0100;8;;;
970610;0200;6;;;
970610;0300;4;;;
970610;0400;3;;;
970610;0500;2;;;
970610;0600;3;;;
970610;0700;6;;;
970610;0800;8;;;
970610;0900;10;;;
970610;1000;12;;;
970610;1100;11;;;
970610;1200;10;;;
970610;1300;9;;;
970610;1400;9;;;
970610;1500;8;;;
970610;1600;7;;;
970610;1700;10;;;
970610;1800;11;;;
970610;1900;14;;;
970610;2000;10;;;
970610;2100;9;;;
970610;2200;9;;;
970610;2300;8;;;
970611;0000;7;;;
970611;0100;6;;;
970611;0200;5;;;
970611;0300;5;;;
970611;0400;5;;;
970611;0500;5;;;
970611;0600;4;;;
970611;0700;5;;;
970611;0800;4;;;
970611;0900;3;;;
970611;1000;3;;;
970611;1100;10;;;
970611;1200;5;;;
970611;1300;5;;;
970611;1400;7;;;
970611;1500;6;;;
970611;1600;5;;;
970611;1700;7;;;
970611;1800;6;;;
970611;1900;4;;;
970611;2000;3;;;
970611;2100;4;;;
970611;2200;5;;;
970611;2300;4;;;
970612;0000;2;;;
970612;0100;2;;;
970612;0200;2;;;
970612;0300;1;;;
970612;0400;2;;;
970612;0500;1;;;
970612;0600;1;;;
970612;0700;4;;;
970612;0800;4;;;
970612;0900;3;;;
970612;1000;2;;;
970612;1100;4;;;
970612;1200;7;;;
970612;1300;9;;;
970612;1400;6;;;
970612;1500;3;;;
970612;1600;3;;;
970612;1700;3;;;
970612;1800;3;;;
970612;1900;4;;;
970612;2000;2;;;
970612;2100;2;;;
970612;2200;2;;;
970612;2300;2;;;
970613;0000;2;;;
970613;0100;2;;;
970613;0200;2;;;
970613;0300;2;;;
970613;0400;2;;;
970613;0500;2;;;
970613;0600;2;;;
970613;0700;4;;;
970613;0800;6;;;
970613;0900;6;;;
970613;1000;3;;;
970613;1100;5;;;
970613;1200;4;;;
970613;1300;5;;;
970613;1400;6;;;
970613;1500;5;;;
970613;1600;4;;;
970613;1700;5;;;
970613;1800;8;;;
970613;1900;10;;;
970613;2000;7;;;
970613;2100;11;;;
970613;2200;14;;;
970613;2300;12;;;
970614;0000;5;;;
970614;0100;2;;;
970614;0200;2;;;
970614;0300;2;;;
970614;0400;2;;;
970614;0500;1;;;
970614;0600;2;;;
970614;0700;3;;;
970614;0800;4;;;
970614;0900;4;;;
970614;1000;4;;;
970614;1100;3;;;
970614;1200;5;;;
970614;1300;9;;;
970614;1400;7;;;
970614;1500;5;;;
970614;1600;5;;;
970614;1700;6;;;
970614;1800;7;;;
970614;1900;7;;;
970614;2000;7;;;
970614;2100;6;;;
970614;2200;5;;;
970614;2300;7;;;
970615;0000;7;;;
970615;0100;6;;;
970615;0200;5;;;
970615;0300;5;;;
970615;0400;4;;;
970615;0500;5;;;
970615;0600;5;;;
970615;0700;5;;;
970615;0800;4;;;
970615;0900;6;;;
970615;1000;5;;;
970615;1100;4;;;
970615;1200;5;;;
970615;1300;8;;;
970615;1400;9;;;
970615;1500;7;;;
970615;1600;8;;;
970615;1700;8;;;
970615;1800;9;;;
970615;1900;10;;;
970615;2000;11;;;
970615;2100;9;;;
970615;2200;7;;;
970615;2300;8;;;
970616;0000;7;;;
970616;0100;5;;;
970616;0200;5;;;
970616;0300;5;;;
970616;0400;4;;;
970616;0500;4;;;
970616;0600;4;;;
970616;0700;6;;;
970616;0800;10;;;
970616;0900;9;;;
970616;1000;7;;;
970616;1100;7;;;
970616;1200;7;;;
970616;1300;6;;;
970616;1400;4;;;
970616;1500;4;;;
970616;1600;3;;;
970616;1700;6;;;
970616;1800;5;;;
970616;1900;5;;;
970616;2000;5;;;
970616;2100;6;;;
970616;2200;7;;;
970616;2300;7;;;
970617;0000;6;;;
970617;0100;3;;;
970617;0200;3;;;
970617;0300;3;;;
970617;0400;1;;;
970617;0500;2;;;
970617;0600;2;;;
970617;0700;4;;;
970617;0800;3;;;
970617;0900;5;;;
970617;1000;7;;;
970617;1100;7;;;
970617;1200;6;;;
970617;1300;6;;;
970617;1400;6;;;
970617;1500;6;;;
970617;1600;5;;;
970617;1700;3;;;
970617;1800;6;;;
970617;1900;3;;;
970617;2000;3;;;
970617;2100;6;;;
970617;2200;6;;;
970617;2300;6;;;
970618;0000;4;;;
970618;0100;4;;;
970618;0200;2;;;
970618;0300;2;;;
970618;0400;2;;;
970618;0500;1;;;
970618;0600;3;;;
970618;0700;6;;;
970618;0800;8;;;
970618;0900;9;;;
970618;1000;18;;;
970618;1100;10;;;
970618;1200;7;;;
970618;1300;6;;;
970618;1400;4;;;
970618;1500;4;;;
970618;1600;2;;;
970618;1700;3;;;
970618;1800;4;;;
970618;1900;6;;;
970618;2000;8;;;
970618;2100;6;;;
970618;2200;6;;;
970618;2300;5;;;
970619;0000;5;;;
970619;0100;4;;;
970619;0200;3;;;
970619;0300;2;;;
970619;0400;1;;;
970619;0500;1;;;
970619;0600;2;;;
970619;0700;6;;;
970619;0800;12;;;
970619;0900;14;;;
970619;1000;11;;;
970619;1100;10;;;
970619;1200;7;;;
970619;1300;3;;;
970619;1400;2;;;
970619;1500;3;;;
970619;1600;2;;;
970619;1700;3;;;
970619;1800;3;;;
970619;1900;2;;;
970619;2000;2;;;
970619;2100;3;;;
970619;2200;1;;;
970619;2300;1;;;
970620;0000;1;;;
970620;0100;1;;;
970620;0200;1;;;
970620;0300;1;;;
970620;0400;1;;;
970620;0500;1;;;
970620;0600;1;;;
970620;0700;3;;;
970620;0800;4;;;
970620;0900;5;;;
970620;1000;7;;;
970620;1100;8;;;
970620;1200;6;;;
970620;1300;5;;;
970620;1400;4;;;
970620;1500;2;;;
970620;1600;3;;;
970620;1700;3;;;
970620;1800;2;;;
970620;1900;2;;;
970620;2000;2;;;
970620;2100;2;;;
970620;2200;2;;;
970620;2300;1;;;
970621;0000;1;;;
970621;0100;1;;;
970621;0200;2;;;
970621;0300;1;;;
970621;0400;2;;;
970621;0500;2;;;
970621;0600;3;;;
970621;0700;1;;;
970621;0800;2;;;
970621;0900;1;;;
970621;1000;3;;;
970621;1100;3;;;
970621;1200;3;;;
970621;1300;1;;;
970621;1400;1;;;
970621;1500;1;;;
970621;1600;1;;;
970621;1700;2;;;
970621;1800;1;;;
970621;1900;1;;;
970621;2000;1;;;
970621;2100;1;;;
970621;2200;1;;;
970621;2300;1;;;
970622;0000;1;;;
970622;0100;1;;;
970622;0200;1;;;
970622;0300;1;;;
970622;0400;1;;;
970622;0500;1;;;
970622;0600;1;;;
970622;0700;1;;;
970622;0800;2;;;
970622;0900;3;;;
970622;1000;3;;;
970622;1100;3;;;
970622;1200;3;;;
970622;1300;3;;;
970622;1400;3;;;
970622;1500;2;;;
970622;1600;3;;;
970622;1700;3;;;
970622;1800;3;;;
970622;1900;3;;;
970622;2000;2;;;
970622;2100;1;;;
970622;2200;1;;;
970622;2300;1;;;
970623;0000;1;;;
970623;0100;1;;;
970623;0200;1;;;
970623;0300;1;;;
970623;0400;1;;;
970623;0500;1;;;
970623;0600;1;;;
970623;0700;1;;;
970623;0800;1;;;
970623;0900;1;;;
970623;1000;1;;;
970623;1100;1;;;
970623;1200;1;;;
970623;1300;1;;;
970623;1400;1;;;
970623;1500;1;;;
970623;1600;1;;;
970623;1700;1;;;
970623;1800;2;;;
970623;1900;3;;;
970623;2000;3;;;
970623;2100;4;;;
970623;2200;4;;;
970623;2300;3;;;
970624;0000;2;;;
970624;0100;1;;;
970624;0200;1;;;
970624;0300;1;;;
970624;0400;1;;;
970624;0500;1;;;
970624;0600;1;;;
970624;0700;2;;;
970624;0800;4;;;
970624;0900;6;;;
970624;1000;4;;;
970624;1100;4;;;
970624;1200;3;;;
970624;1300;2;;;
970624;1400;3;;;
970624;1500;2;;;
970624;1600;2;;;
970624;1700;2;;;
970624;1800;4;;;
970624;1900;3;;;
970624;2000;4;;;
970624;2100;7;;;
970624;2200;8;;;
970624;2300;8;;;
970625;0000;5;;;
970625;0100;4;;;
970625;0200;3;;;
970625;0300;2;;;
970625;0400;2;;;
970625;0500;2;;;
970625;0600;2;;;
970625;0700;4;;;
970625;0800;8;;;
970625;0900;8;;;
970625;1000;8;;;
970625;1100;14;;;
970625;1200;8;;;
970625;1300;6;;;
970625;1400;4;;;
970625;1500;10;;;
970625;1600;28;;;
970625;1700;40;;;
970625;1800;28;;;
970625;1900;15;;;
970625;2000;14;;;
970625;2100;11;;;
970625;2200;10;;;
