FECHA (YYMMDD);HORA (HHMM);;
031226;1300;26,2083;
031226;1400;26,65;
031226;1500;27,2583;
031226;1600;26,5417;
031226;1700;25,55;
031226;1800;23,4333;
031226;1900;21,125;
031226;2000;18,5083;
031226;2100;16,9666;
031226;2200;15,8;
031226;2300;14,9083;
031227;0000;14,2;
031227;0100;14,5417;
031227;0200;13,9417;
031227;0300;13,125;
031227;0400;12,075;
031227;0500;11,5583;
031227;0600;12,2833;
031227;0700;14,2083;
031227;0800;15,3667;
031227;0900;16,3416;
031227;1000;18,2583;
031227;1100;19,925;
031227;1200;21,8;
031227;1300;23,125;
031227;1400;24,8167;
031227;1500;25,8333;
031227;1600;25,9833;
031227;1700;25,325;
031227;1800;24,0833;
031227;1900;21,6667;
031227;2000;19,5583;
031227;2100;18,3916;
031227;2200;17,0083;
031227;2300;15,7;
031228;0000;14,5083;
031228;0100;13,5417;
031228;0200;12,7583;
031228;0300;11,7833;
031228;0400;11,0583;
031228;0500;10,3916;
031228;0600;12,2917;
031228;0700;15,8583;
031228;0800;19,3167;
031228;0900;21,7166;
031228;1000;24,0166;
031228;1100;25,8583;
031228;1200;27;
031228;1300;28,75;
031228;1400;29,5166;
031228;1500;30,075;
031228;1600;30,0667;
031228;1700;29,6583;
031228;1800;27,9833;
031228;1900;24,6083;
031228;2000;21,3416;
031228;2100;20;
031228;2200;18,9083;
031228;2300;17,9666;
031229;0000;17,25;
031229;0100;15,9833;
031229;0200;15,175;
031229;0300;13,925;
031229;0400;14,3417;
031229;0500;14,0417;
031229;0600;16,0667;
031229;0700;20,1917;
031229;0800;20,4417;
031229;0900;22,5583;
031229;1000;24,05;
031229;1100;25,2416;
031229;1200;26,15;
031229;1300;27,325;
031229;1400;27,875;
031229;1500;28,1166;
031229;1600;26,7416;
031229;1700;24,8833;
031229;1800;23,1083;
031229;1900;21,4666;
031229;2000;20,1666;
031229;2100;19,425;
031229;2200;18,825;
031229;2300;18,025;
031230;0000;16,9333;
031230;0100;16,5;
031230;0200;15,75;
031230;0300;14,825;
031230;0400;14,25;
031230;0500;14;
031230;0600;16;
031230;0700;18,8833;
031230;0800;21,0166;
031230;0900;23,75;
031230;1000;25,9583;
031230;1100;27,3666;
031230;1200;28,55;
031230;1300;29,15;
031230;1400;29,5416;
031230;1500;29,1166;
031230;1600;28,1833;
031230;1700;26,725;
031230;1800;25,15;
031230;1900;22,9083;
031230;2000;20,8416;
031230;2100;19,6166;
031230;2200;18,7083;
031230;2300;18,2;
031231;0000;17,325;
031231;0100;16,5417;
031231;0200;15,8416;
031231;0300;15,4333;
031231;0400;14,9917;
031231;0500;14,9583;
031231;0600;17,0166;
031231;0700;20,3;
031231;0800;22,0333;
031231;0900;24,2583;
031231;1000;26,05;
031231;1100;27,1;
031231;1200;27,0916;
031231;1300;27,75;
031231;1400;28;
031231;1500;27,6666;
031231;1600;27,3416;
031231;1700;26,575;
031231;1800;24,8;
031231;1900;22,8666;
031231;2000;20,8;
031231;2100;19,55;
031231;2200;18,7416;
031231;2300;18,3333;
040101;0000;17,55;
040101;0100;16,5;
040101;0200;15,8333;
040101;0300;15,325;
040101;0400;14,8417;
040101;0500;14,525;
040101;0600;16,8416;
040101;0700;21,075;
040101;0800;22,4583;
040101;0900;24,3;
040101;1000;26,7333;
040101;1100;27,6416;
040101;1200;28,2583;
040101;1300;29,175;
040101;1400;29,625;
040101;1500;29,625;
040101;1600;28,6666;
040101;1700;27,3666;
040101;1800;25,6333;
040101;1900;23,3833;
040101;2000;21,2583;
040101;2100;20,15;
040101;2200;19,3083;
040101;2300;18,7083;
040102;0000;17,5083;
040102;0100;16,4166;
040102;0200;15,8833;
040102;0300;15,65;
040102;0400;15,625;
040102;0500;15,225;
040102;0600;17,5416;
040102;0700;20,675;
040102;0800;23,1333;
040102;0900;25,1166;
040102;1000;27,3916;
040102;1100;28,8333;
040102;1200;30,1083;
040102;1300;31,6416;
040102;1400;31,7916;
040102;1500;31,5166;
040102;1600;31,0583;
040102;1700;29,3333;
040102;1800;27,5417;
040102;1900;24,7;
040102;2000;21,85;
040102;2100;20,2416;
040102;2200;19,8083;
040102;2300;19,0333;
040103;0000;18,15;
040103;0100;17,5166;
040103;0200;16,8416;
040103;0300;15,7417;
040103;0400;15;
040103;0500;14,925;
040103;0600;17,1667;
040103;0700;20,475;
040103;0800;22,875;
040103;0900;25,2;
040103;1000;27,5833;
040103;1100;29,0416;
040103;1200;29,5916;
040103;1300;30,6917;
040103;1400;31,0333;
040103;1500;30,8833;
040103;1600;30,125;
040103;1700;28,625;
040103;1800;26,75;
040103;1900;24,1416;
040103;2000;21,3583;
040103;2100;20,3666;
040103;2200;19,825;
040103;2300;19,0166;
040104;0000;17,95;
040104;0100;16,6166;
040104;0200;15,1583;
040104;0300;14,7833;
040104;0400;13,9167;
040104;0500;14,0917;
040104;0600;16,1333;
040104;0700;19,7416;
040104;0800;21,275;
040104;0900;23,9333;
040104;1000;26,275;
040104;1100;27,8083;
040104;1200;28,8666;
040104;1300;29,0667;
040104;1400;29,0583;
040104;1500;29,0416;
040104;1600;28,2166;
040104;1700;26,4916;
040104;1800;24,325;
040104;1900;22,1583;
040104;2000;19,9166;
040104;2100;18,375;
040104;2200;17,325;
040104;2300;16,575;
040105;0000;15,8416;
040105;0100;14,9417;
040105;0200;14,725;
040105;0300;14,6416;
040105;0400;14,425;
040105;0500;14,1333;
040105;0600;15,6083;
040105;0700;18,2;
040105;0800;20,2333;
040105;0900;23,2166;
040105;1000;25,525;
040105;1100;26,35;
040105;1200;27,7583;
040105;1300;29,0833;
040105;1400;29,8333;
040105;1500;30,075;
040105;1600;30,0333;
040105;1700;29,125;
040105;1800;27,95;
040105;1900;25,4166;
040105;2000;23,225;
040105;2100;21,8083;
040105;2200;20,9333;
040105;2300;19,7833;
040106;0000;19,4;
040106;0100;18,25;
040106;0200;17,6416;
040106;0300;16,7;
040106;0400;16,1833;
040106;0500;15,6416;
040106;0600;16,8083;
040106;0700;20,325;
040106;0800;22,5333;
040106;0900;24,1416;
040106;1000;26,325;
040106;1100;27,5083;
040106;1200;28,45;
040106;1300;29,1333;
040106;1400;29,4583;
040106;1500;28,975;
040106;1600;28,4166;
040106;1700;27,225;
040106;1800;25,5;
040106;1900;22,925;
040106;2000;20,5583;
040106;2100;19,0083;
040106;2200;18,1583;
040106;2300;17,3083;
040107;0000;16,75;
040107;0100;16,0166;
040107;0200;15,7666;
040107;0300;14,95;
040107;0400;14,4333;
040107;0500;14,7917;
040107;0600;16,8666;
040107;0700;20,0833;
040107;0800;21,6666;
040107;0900;23,8583;
040107;1000;25,3;
040107;1100;25,9916;
040107;1200;27,0583;
040107;1300;27,775;
040107;1400;28,2917;
040107;1500;28,225;
040107;1600;27,525;
040107;1700;26,5333;
040107;1800;24,8;
040107;1900;22,8;
040107;2000;20,75;
040107;2100;19,9333;
040107;2200;19,1;
040107;2300;18,0916;
040108;0000;17,5916;
040108;0100;17,3167;
040108;0200;16,6416;
040108;0300;16,225;
040108;0400;15,8333;
040108;0500;15,475;
040108;0600;17,15;
040108;0700;20,525;
040108;0800;22,5583;
040108;0900;23,4;
040108;1000;24,8666;
040108;1100;25,625;
040108;1200;26,8;
040108;1300;26,9083;
040108;1400;26,3833;
040108;1500;26,7416;
040108;1600;26,05;
040108;1700;25,275;
040108;1800;23,95;
040108;1900;22,1416;
040108;2000;20,5416;
040108;2100;19,6416;
040108;2200;19,0916;
040108;2300;18,2333;
040109;0000;17,4166;
040109;0100;16,9166;
040109;0200;16;
040109;0300;15,4083;
040109;0400;15,1416;
040109;0500;14,6583;
040109;0600;15,9167;
040109;0700;19,5667;
040109;0800;21,1833;
040109;0900;23,3583;
040109;1000;25,275;
040109;1100;26,9167;
040109;1200;27,5833;
040109;1300;29,3583;
040109;1400;30,025;
040109;1500;30,7;
040109;1600;30,4166;
040109;1700;29,7666;
040109;1800;28,2166;
040109;1900;26,3;
040109;2000;24,1583;
040109;2100;22,8916;
040109;2200;22,2416;
040109;2300;21,325;
040110;0000;20,675;
040110;0100;19,55;
040110;0200;18,5916;
040110;0300;17,9583;
040110;0400;17,525;
040110;0500;17,175;
040110;0600;17,8916;
040110;0700;20,4583;
040110;0800;23,475;
040110;0900;25,4916;
040110;1000;27,175;
040110;1100;28,3;
040110;1200;29,4166;
040110;1300;30,5833;
040110;1400;31,4167;
040110;1500;31,7;
040110;1600;31,7166;
040110;1700;30,725;
040110;1800;29,375;
040110;1900;27,5667;
040110;2000;25,1917;
040110;2100;24,475;
040110;2200;23,375;
040110;2300;22,2;
040111;0000;20,9833;
040111;0100;19,7333;
040111;0200;18,9417;
040111;0300;18,0916;
040111;0400;17,7166;
040111;0500;17,15;
040111;0600;18,175;
040111;0700;22,775;
040111;0800;24,3833;
040111;0900;27;
040111;1000;28,9166;
040111;1100;30,0583;
040111;1200;30,6917;
040111;1300;31,125;
040111;1400;31,1416;
040111;1500;31,0166;
040111;1600;30,2;
040111;1700;28,85;
040111;1800;27,1833;
040111;1900;25,125;
040111;2000;22,8916;
040111;2100;21,575;
040111;2200;20,7;
040111;2300;20,0583;
040112;0000;19;
040112;0100;17,6666;
040112;0200;17,35;
040112;0300;16,4333;
040112;0400;15,8333;
040112;0500;15,4333;
040112;0600;16,875;
040112;0700;19,525;
040112;0800;22,3167;
040112;0900;23,4583;
040112;1000;25,2833;
040112;1100;27,025;
040112;1200;28,2583;
040112;1300;28,2833;
040112;1400;28,7166;
040112;1500;28,9583;
040112;1600;28,55;
040112;1700;26,6166;
040112;1800;24,475;
040112;1900;22,175;
040112;2000;20,2916;
040112;2100;19,7166;
040112;2200;19,0333;
040112;2300;18,6917;
040113;0000;17,825;
040113;0100;17,4583;
040113;0200;17,1;
040113;0300;16,8083;
040113;0400;16,5833;
040113;0500;16,3083;
040113;0600;18,025;
040113;0700;21,8583;
040113;0800;22,9166;
040113;0900;25,2;
040113;1000;26,7916;
040113;1100;27,9167;
040113;1200;28,4666;
040113;1300;29,4666;
040113;1400;29,5583;
040113;1500;28,9833;
040113;1600;27,3167;
040113;1700;25,1917;
040113;1800;23,3666;
040113;1900;21,0916;
040113;2000;19,7583;
040113;2100;19,0667;
040113;2200;18,725;
040113;2300;18,025;
040114;0000;17,3916;
040114;0100;16,875;
040114;0200;16,5083;
040114;0300;16,25;
040114;0400;15,975;
040114;0500;15,675;
040114;0600;16,2916;
040114;0700;18,7416;
040114;0800;20,1416;
040114;0900;21,8833;
040114;1000;23,1166;
040114;1100;24,375;
040114;1200;25,4666;
040114;1300;25,5333;
040114;1400;25,325;
040114;1500;25,6333;
040114;1600;25,7416;
040114;1700;25,6833;
040114;1800;25,4;
040114;1900;23,8416;
040114;2000;21,9833;
040114;2100;21,325;
040114;2200;20,975;
040114;2300;20,0583;
040115;0000;19,275;
040115;0100;17,6583;
040115;0200;17,6333;
040115;0300;16,075;
040115;0400;15,4083;
040115;0500;15,6167;
040115;0600;15,2417;
040115;0700;15,925;
040115;0800;18,5;
040115;0900;19,2416;
040115;1000;21,4417;
040115;1100;23,6;
040115;1200;25,2;
040115;1300;25,8666;
040115;1400;27,4167;
040115;1500;27,875;
040115;1600;26,325;
040115;1700;23,8416;
040115;1800;22,0916;
040115;1900;20,1833;
040115;2000;18,525;
040115;2100;17,85;
040115;2200;17,075;
040115;2300;16,9333;
040116;0000;16,0417;
040116;0100;15,6333;
040116;0200;15,2666;
040116;0300;15,4583;
040116;0400;15,2167;
040116;0500;14,4917;
040116;0600;15,0583;
040116;0700;16,0333;
040116;0800;17,275;
040116;0900;19,7083;
040116;1000;21,775;
040116;1100;22,6333;
040116;1200;23,1166;
040116;1300;23,1583;
040116;1400;24,025;
040116;1500;24,475;
040116;1600;24,175;
040116;1700;23,8666;
040116;1800;22,9833;
040116;1900;21,575;
040116;2000;20,5333;
040116;2100;19,7083;
040116;2200;18,775;
040116;2300;18,1833;
040117;0000;17,25;
040117;0100;16,4;
040117;0200;16,0667;
040117;0300;15,8;
040117;0400;15,375;
040117;0500;14,7917;
040117;0600;15,375;
040117;0700;17,875;
040117;0800;20,2333;
040117;0900;22,3167;
040117;1000;24,3833;
040117;1100;26,7833;
040117;1200;28,1917;
040117;1300;28,7416;
040117;1400;29,025;
040117;1500;28,85;
040117;1600;27,9666;
040117;1700;26,5583;
040117;1800;25,0166;
040117;1900;22,9417;
040117;2000;21,25;
040117;2100;20,35;
040117;2200;19,575;
040117;2300;18,875;
040118;0000;17,8666;
040118;0100;17,1667;
040118;0200;16,6166;
040118;0300;15,9666;
040118;0400;15,4833;
040118;0500;15,2666;
040118;0600;15,75;
040118;0700;17,3833;
040118;0800;20,5166;
040118;0900;22,6083;
040118;1000;25,5583;
040118;1100;27,325;
040118;1200;28,6;
040118;1300;29,5;
040118;1400;30,3167;
040118;1500;29,9417;
040118;1600;29,475;
040118;1700;28,4333;
040118;1800;26,5916;
040118;1900;24,175;
040118;2000;21,975;
040118;2100;20,6917;
040118;2200;19,7833;
040118;2300;18,9583;
040119;0000;18,2083;
040119;0100;17,3583;
040119;0200;16,6917;
040119;0300;16,0083;
040119;0400;15,525;
040119;0500;15,0333;
040119;0600;16,1917;
040119;0700;20,6667;
040119;0800;22,5916;
040119;0900;24,175;
040119;1000;27,0333;
040119;1100;27,575;
040119;1200;28,9833;
040119;1300;29,9167;
040119;1400;30,7583;
040119;1500;31,2833;
040119;1600;30,725;
040119;1700;28,5833;
040119;1800;26,2083;
040119;1900;23,5333;
040119;2000;21,0166;
040119;2100;19,2416;
040119;2200;18,175;
040119;2300;17,4417;
040120;0000;16,1917;
040120;0100;14,8;
040120;0200;13,9167;
040120;0300;13,4333;
040120;0400;12,6917;
040120;0500;12,225;
040120;0600;12,1583;
040120;0700;14,675;
040120;0800;17,3916;
040120;0900;19,8416;
040120;1000;23,1;
040120;1100;24,6083;
040120;1200;26,1166;
040120;1300;28,025;
040120;1400;29;
040120;1500;29,425;
040120;1600;28,6333;
040120;1700;27,6416;
040120;1800;26,35;
040120;1900;23,625;
040120;2000;21,7083;
040120;2100;20,65;
040120;2200;20,075;
040120;2300;19,4166;
040121;0000;18,8833;
040121;0100;18,15;
040121;0200;17,3916;
040121;0300;16,925;
040121;0400;16,2666;
040121;0500;16,075;
040121;0600;17,0667;
040121;0700;20,6917;
040121;0800;22,9333;
040121;0900;24,2416;
040121;1000;25,9666;
040121;1100;27,7083;
040121;1200;28,525;
040121;1300;28,975;
040121;1400;29,2833;
040121;1500;28,8083;
040121;1600;27,8;
040121;1700;25,9916;
040121;1800;24,1166;
040121;1900;21,825;
040121;2000;19,5333;
040121;2100;18,35;
040121;2200;17,875;
040121;2300;17,4083;
040122;0000;17;
040122;0100;16,2666;
040122;0200;15,8667;
040122;0300;15,4333;
040122;0400;14,8417;
040122;0500;14,2333;
040122;0600;14,85;
040122;0700;17,475;
040122;0800;20,2166;
040122;0900;21,3083;
040122;1000;23,5417;
040122;1100;25,225;
040122;1200;25,775;
040122;1300;26,8416;
040122;1400;27,6083;
040122;1500;28,025;
040122;1600;27,3666;
040122;1700;26,1083;
040122;1800;24,2833;
040122;1900;21,8666;
040122;2000;20,1166;
040122;2100;19,15;
040122;2200;18,5166;
040122;2300;17,575;
040123;0000;17,0333;
040123;0100;16,2583;
040123;0200;15,3667;
040123;0300;14,9917;
040123;0400;14,65;
040123;0500;14,125;
040123;0600;14,525;
040123;0700;17,175;
040123;0800;18,8167;
040123;0900;20,3583;
040123;1000;22,5417;
040123;1100;23,9916;
040123;1200;25,3916;
040123;1300;26,0083;
040123;1400;26,7;
040123;1500;27,4083;
040123;1600;27,0166;
040123;1700;25,5;
040123;1800;24,0166;
040123;1900;22,0333;
040123;2000;20,0583;
040123;2100;19,275;
040123;2200;18,7916;
040123;2300;18;
040124;0000;17,1833;
040124;0100;16,8583;
040124;0200;15,9333;
040124;0300;15,5333;
040124;0400;15,025;
040124;0500;14,8916;
040124;0600;15,4417;
040124;0700;18,9;
040124;0800;21,3;
040124;0900;23,0333;
040124;1000;24,8333;
040124;1100;26,8916;
040124;1200;27,8083;
040124;1300;28,3583;
040124;1400;28,7833;
040124;1500;28,575;
040124;1600;27,8;
040124;1700;26,7416;
040124;1800;25,0833;
040124;1900;22,6666;
040124;2000;20,325;
040124;2100;19,25;
040124;2200;18,3416;
040124;2300;17,675;
040125;0000;17,1667;
040125;0100;16,475;
040125;0200;15,9167;
040125;0300;15,6083;
040125;0400;15,0166;
040125;0500;14,6583;
040125;0600;15,6167;
040125;0700;20,1833;
040125;0800;21,575;
040125;0900;23,2833;
040125;1000;25,4417;
040125;1100;26,4666;
040125;1200;27,2833;
040125;1300;27,9583;
040125;1400;28,8916;
040125;1500;29,3833;
040125;1600;29,0667;
040125;1700;27,6;
040125;1800;25,8916;
040125;1900;23,4583;
040125;2000;21,4083;
040125;2100;20,1583;
040125;2200;19,4333;
040125;2300;19,15;
040126;0000;18,2166;
040126;0100;17,4583;
040126;0200;16,8;
040126;0300;16,3083;
040126;0400;15,9917;
040126;0500;15,8333;
040126;0600;16,5083;
040126;0700;19,9583;
040126;0800;21,975;
040126;0900;23,7;
040126;1000;25,475;
040126;1100;27,4333;
040126;1200;28,3167;
040126;1300;29,2416;
040126;1400;30,2333;
040126;1500;30,55;
040126;1600;29,6;
040126;1700;28,4916;
040126;1800;26,5;
040126;1900;24,25;
040126;2000;22,2916;
040126;2100;21,275;
040126;2200;20,3083;
040126;2300;19,6917;
040127;0000;19,3333;
040127;0100;18,7666;
040127;0200;18,1583;
040127;0300;17,675;
040127;0400;17,1166;
040127;0500;16,6166;
040127;0600;16,55;
040127;0700;18,975;
040127;0800;22,4;
040127;0900;24,4666;
040127;1000;26,9;
040127;1100;28,6;
040127;1200;29,425;
040127;1300;29,8083;
