FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090204;0100;;;4,1;
090204;0200;;;4,15833;
090204;0300;;;4,13332;
090204;0400;;;4,07777;
090204;0500;;;4,23333;
090204;0600;;;4,45833;
090204;0700;;;4,29166;
090204;0800;;;4,18333;
090204;0900;;;4,19166;
090204;1000;;;4,2;
090204;1100;;;4,12498;
090204;1200;;;4,00832;
090204;1300;;;4;
090204;1400;;;4;
090204;1500;;;3,975;
090204;1600;;;3,90833;
090204;1700;;;3,9;
090204;1800;;;3,9;
090204;1900;;;3,9;
090204;2000;;;3,96666;
090204;2100;;;3,99166;
090204;2200;;;4,03333;
090204;2300;;;4,18333;
090205;0000;;;4,05;
090205;0100;;;4,1;
090205;0200;;;4,10833;
090205;0300;;;4,05555;
090205;0400;;;4,1;
090205;0500;;;4,23333;
090205;0600;;;4,44999;
090205;0700;;;4,62498;
090205;0800;;;4,23333;
090205;0900;;;4,175;
090205;1000;;;4,08333;
090205;1100;;;4;
090205;1200;;;4;
090205;1300;;;4;
090205;1400;;;4;
090205;1500;;;4;
090205;1600;;;;
090205;1700;;;4;
090205;1800;;;4;
090205;1900;;;4;
090205;2000;;;4,08333;
090205;2100;;;4,1;
090205;2200;;;4,1;
090205;2300;;;4,10833;
090206;0000;;;4,2;
090206;0100;;;4,22498;
090206;0200;;;4,2;
090206;0300;;;4,27776;
090206;0400;;;4,18887;
090206;0500;;;4,22498;
090206;0600;;;4,51665;
090206;0700;;;4,7;
090206;0800;;;4,34166;
090206;0900;;;4,39999;
090206;1000;;;4,33333;
090206;1100;;;4,175;
090206;1200;;;4,1;
090206;1300;;;4,01665;
090206;1400;;;4;
090206;1500;;;4;
090206;1600;;;4;
090206;1700;;;4;
090206;1800;;;4,02499;
090206;1900;;;4,05833;
090206;2000;;;4,1;
090206;2100;;;4,14999;
090206;2200;;;4,12498;
090206;2300;;;4,40833;
090207;0000;;;4,49165;
090207;0100;;;4,59998;
090207;0200;;;4,33333;
090207;0300;;;4,27776;
090207;0400;;;4,21111;
090207;0500;;;4,33333;
090207;0600;;;4,37498;
090207;0700;;;4,60833;
090207;0800;;;4,58333;
090207;0900;;;4,30833;
090207;1000;;;4,2;
090207;1100;;;4,13332;
090207;1200;;;4,1;
090207;1300;;;4,1;
090207;1400;;;4,1;
090207;1500;;;4,1;
090207;1600;;;;
090207;1700;;;;
090207;1800;;;;
090207;1900;;;4,14999;
090207;2000;;;4,20833;
090207;2100;;;4,16666;
090207;2200;;;4,175;
090207;2300;;;4,33333;
090208;0000;;;4,76665;
090208;0100;;;4,90833;
090208;0200;;;4,62498;
090208;0300;;;4,47777;
090208;0400;;;4,54443;
090208;0500;;;4,35831;
090208;0600;;;4,40833;
090208;0700;;;4,39999;
090208;0800;;;4,22498;
090208;0900;;;4,2;
090208;1000;;;4,2;
090208;1100;;;4,18333;
090208;1200;;;4,1;
090208;1300;;;4,1;
090208;1400;;;4,1;
090208;1500;;;4,1;
090208;1600;;;4,1;
090208;1700;;;;
090208;1800;;;4,18333;
090208;1900;;;4,2;
090208;2000;;;4,26665;
090208;2100;;;4,56666;
090208;2200;;;5,39999;
090208;2300;;;4,97498;
090209;0000;;;4,7;
090209;0100;;;4,49165;
090209;0200;;;4,3;
090209;0300;;;4,3;
090209;0400;;;4,3;
090209;0500;;;4,44166;
090209;0600;;;4,84166;
090209;0700;;;4,91666;
090209;0800;;;4,43333;
090209;0900;;;4,3;
090209;1000;;;4,3;
090209;1100;;;4,20833;
090209;1200;;;4,2;
090209;1300;;;4,2;
090209;1400;;;4,2;
090209;1500;;;4,2;
090209;1600;;;;
090209;1700;;;;
090209;1800;;;;
090209;1900;;;;
090209;2000;;;;
090209;2100;;;4,31666;
090209;2200;;;4,32499;
090209;2300;;;4,39165;
090210;0000;;;4,3;
090210;0100;;;4,3;
090210;0200;;;4,3;
090210;0300;;;4,35555;
090210;0400;;;4,51109;
090210;0500;;;4,44166;
090210;0600;;;4,74998;
090210;0700;;;4,78333;
090210;0800;;;4,41666;
090210;0900;;;4,37498;
090210;1000;;;4,43333;
090210;1100;;;4,34166;
090210;1200;;;4,24165;
090210;1300;;;4,2;
090210;1400;;;4,2;
090210;1500;;;4,16666;
090210;1600;;;4,14165;
090210;1700;;;4,2;
090210;1800;;;4,2;
090210;1900;;;4,20833;
090210;2000;;;4,26665;
090210;2100;;;4,32499;
090210;2200;;;4,48331;
090210;2300;;;4,75832;
090211;0000;;;4,51665;
090211;0100;;;4,39999;
090211;0200;;;4,37498;
090211;0300;;;4,39999;
090211;0400;;;4,34444;
090211;0500;;;4,56667;
090211;0600;;;4,97498;
090211;0700;;;4,84998;
090211;0800;;;4,46666;
090211;0900;;;4,49165;
090211;1000;;;4,5;
090211;1100;;;4,475;
090211;1200;;;4,325;
090211;1300;;;4,13332;
090211;1400;;;4,1;
090211;1500;;;4,1;
090211;1600;;;4,1;
090211;1700;;;4,1;
090211;1800;;;;
090211;1900;;;;
090211;2000;;;4,44166;
090211;2100;;;5,12498;
090211;2200;;;4,95833;
090211;2300;;;4,68333;
090212;0000;;;4,72498;
090212;0100;;;4,40833;
090212;0200;;;4,39999;
090212;0300;;;4,3111;
090212;0400;;;4,41109;
090212;0500;;;4,44999;
090212;0600;;;4,95;
090212;0700;;;4,88332;
090212;0800;;;4,43333;
090212;0900;;;4,475;
090212;1000;;;4,41666;
090212;1100;;;4,425;
090212;1200;;;4,32499;
090212;1300;;;4,2;
090212;1400;;;4,19166;
090212;1500;;;4,175;
090212;1600;;;4,18333;
090212;1700;;;4,12498;
090212;1800;;;4,11665;
090212;1900;;;4,2;
090212;2000;;;4,28333;
090212;2100;;;4,35831;
090212;2200;;;4,51665;
090212;2300;;;4,44166;
090213;0000;;;4,60833;
090213;0100;;;4,50832;
090213;0200;;;4,34166;
090213;0300;;;4,36665;
090213;0400;;;4,37777;
090213;0500;;;4,59166;
090213;0600;;;4,73333;
090213;0700;;;4,66666;
090213;0800;;;4,66666;
090213;0900;;;4,59166;
090213;1000;;;4,575;
090213;1100;;;4,37498;
090213;1200;;;4,30833;
090213;1300;;;4,3;
090213;1400;;;4,25832;
090213;1500;;;4,21666;
090213;1600;;;4,2;
090213;1700;;;4,2;
090213;1800;;;4,21666;
090213;1900;;;4,27499;
090213;2000;;;4,39999;
090213;2100;;;4,41666;
090213;2200;;;4,99165;
090213;2300;;;5,075;
090214;0000;;;4,58333;
090214;0100;;;4,62498;
090214;0200;;;4,62498;
090214;0300;;;4,51111;
090214;0400;;;4,41109;
090214;0500;;;4,45;
090214;0600;;;4,63332;
090214;0700;;;4,65833;
090214;0800;;;4,55;
090214;0900;;;4,51665;
090214;1000;;;4,5;
090214;1100;;;4,5;
090214;1200;;;4,45;
090214;1300;;;4,33333;
090214;1400;;;4,3;
090214;1500;;;4,3;
090214;1600;;;4,3;
090214;1700;;;4,3;
090214;1800;;;4,38332;
090214;1900;;;4,39999;
090214;2000;;;4,475;
090214;2100;;;4,5;
090214;2200;;;4,5;
090214;2300;;;4,49165;
090215;0000;;;4,59166;
090215;0100;;;4,60833;
090215;0200;;;4,70833;
090215;0300;;;4,7;
090215;0400;;;4,8222;
090215;0500;;;5,05;
090215;0600;;;5,08333;
090215;0700;;;5,03333;
090215;0800;;;4,90833;
090215;0900;;;4,73333;
090215;1000;;;4,61665;
090215;1100;;;4,6;
090215;1200;;;4,5;
090215;1300;;;4,40833;
090215;1400;;;4,39999;
090215;1500;;;4,39999;
090215;1600;;;4,31666;
090215;1700;;;4,30833;
090215;1800;;;4,36665;
090215;1900;;;4,39999;
090215;2000;;;4,5;
090215;2100;;;4,50832;
090215;2200;;;4,5;
090215;2300;;;4,50832;
090216;0000;;;4,56667;
090216;0100;;;4,6;
090216;0200;;;4,59166;
090216;0300;;;4,52222;
090216;0400;;;4,54443;
090216;0500;;;4,70833;
090216;0600;;;4,97498;
090216;0700;;;5,05;
090216;0800;;;4,90833;
090216;0900;;;4,79166;
090216;1000;;;4,64165;
090216;1100;;;4,50832;
090216;1200;;;4,49165;
090216;1300;;;4,39999;
090216;1400;;;4,39999;
090216;1500;;;4,39999;
090216;1600;;;4,32499;
090216;1700;;;4,37498;
090216;1800;;;4,39999;
090216;1900;;;4,45833;
090216;2000;;;4,59166;
090216;2100;;;4,94166;
090216;2200;;;5,33333;
090216;2300;;;5,10831;
090217;0000;;;4,77499;
090217;0100;;;4,81666;
090217;0200;;;4,75832;
090217;0300;;;4,61111;
090217;0400;;;4,64444;
090217;0500;;;4,75832;
090217;0600;;;4,97498;
090217;0700;;;5,16666;
090217;0800;;;4,69166;
090217;0900;;;4,6;
090217;1000;;;4,59166;
090217;1100;;;4,55;
090217;1200;;;4,53333;
090217;1300;;;4,425;
090217;1400;;;4,39999;
090217;1500;;;4,39165;
090217;1600;;;4,425;
090217;1700;;;4,5;
090217;1800;;;4,5;
090217;1900;;;4,53333;
090217;2000;;;4,575;
090217;2100;;;4,6;
090217;2200;;;4,6;
090217;2300;;;4,6;
090218;0000;;;4,62498;
090218;0100;;;4,53333;
090218;0200;;;4,58333;
090218;0300;;;4,6;
090218;0400;;;4,6;
090218;0500;;;4,70833;
090218;0600;;;4,93333;
090218;0700;;;4,75832;
090218;0800;;;4,50832;
090218;0900;;;4,56667;
090218;1000;;;4,53333;
090218;1100;;;4,54166;
090218;1200;;;4,51665;
090218;1300;;;4,5;
090218;1400;;;4,5;
090218;1500;;;4,49165;
090218;1600;;;4,48333;
090218;1700;;;4,49165;
090218;1800;;;4,5;
090218;1900;;;4,5;
090218;2000;;;4,58333;
090218;2100;;;4,73333;
090218;2200;;;4,82499;
090218;2300;;;4,71666;
090219;0000;;;4,71666;
090219;0100;;;4,75832;
090219;0200;;;4,72498;
090219;0300;;;4,8;
090219;0400;;;4,8;
090219;0500;;;4,87498;
090219;0600;;;5,34166;
090219;0700;;;5,20833;
090219;0800;;;4,93333;
090219;0900;;;4,85831;
090219;1000;;;4,86665;
090219;1100;;;4,74165;
090219;1200;;;4,675;
090219;1300;;;4,6;
090219;1400;;;4,52499;
090219;1500;;;4,5;
090219;1600;;;4,5;
090219;1700;;;4,50832;
090219;1800;;;4,50832;
090219;1900;;;4,56667;
090219;2000;;;4,70833;
090219;2100;;;4,7;
090219;2200;;;4,73333;
090219;2300;;;4,8;
090220;0000;;;4,8;
090220;0100;;;4,84166;
090220;0200;;;4,84166;
090220;0300;;;4,89999;
090220;0400;;;4,8;
090220;0500;;;4,80833;
090220;0600;;;5,00832;
090220;0700;;;5,175;
090220;0800;;;4,91666;
090220;0900;;;4,84166;
090220;1000;;;4,78333;
090220;1100;;;4,7;
090220;1200;;;4,7;
090220;1300;;;4,63332;
090220;1400;;;4,6;
090220;1500;;;4,6;
090220;1600;;;4,6;
090220;1700;;;4,52499;
090220;1800;;;4,51665;
090220;1900;;;4,56667;
090220;2000;;;4,63332;
090220;2100;;;4,7;
090220;2200;;;4,69166;
090220;2300;;;4,74165;
090221;0000;;;4,75832;
090221;0100;;;4,74165;
090221;0200;;;4,77499;
090221;0300;;;4,72221;
090221;0400;;;4,76665;
090221;0500;;;4,83333;
090221;0600;;;5,00832;
090221;0700;;;4,87498;
090221;0800;;;4,72498;
090221;0900;;;4,77499;
090221;1000;;;4,7;
090221;1100;;;4,7;
090221;1200;;;4,65833;
090221;1300;;;4,60833;
090221;1400;;;4,6;
090221;1500;;;4,6;
090221;1600;;;4,6;
090221;1700;;;4,64999;
090221;1800;;;4,6;
090221;1900;;;4,63332;
090221;2000;;;4,75832;
090221;2100;;;4,78333;
090221;2200;;;4,74165;
090221;2300;;;5,02499;
090222;0000;;;5,53333;
090222;0100;;;5,33333;
090222;0200;;;5,27499;
090222;0300;;;5,3111;
090222;0400;;;4,96666;
090222;0500;;;5,00832;
090222;0600;;;5,1;
090222;0700;;;4,95;
090222;0800;;;4,60833;
090222;0900;;;4,50832;
090222;1000;;;4,48333;
090222;1100;;;4,45833;
090222;1200;;;4,33333;
090222;1300;;;4,3;
090222;1400;;;4,3;
090222;1500;;;4,3;
090222;1600;;;4,24165;
090222;1700;;;4,13332;
090222;1800;;;4,05;
090222;1900;;;4,01665;
090222;2000;;;4,64999;
090222;2100;;;4,93333;
