FECHA (YYMMDD);HORA (HHMM);;
031226;0500;0,342233;
031226;0600;0,884418;
031226;0700;0,773911;
031226;0800;1,06636;
031226;0900;1,32355;
031226;1000;1,83903;
031226;1100;2,80928;
031226;1200;3,13481;
031226;1300;3,3436;
031226;1400;3,62178;
031226;1500;3,6269;
031226;1600;4,16882;
031226;1700;4,0863;
031226;1800;4,11976;
031226;1900;3,18319;
031226;2000;2,70654;
031226;2100;2,22411;
031226;2200;1,76662;
031226;2300;1,37588;
031227;0000;0,887154;
031227;0100;1,89651;
031227;0200;2,92273;
031227;0300;2,85766;
031227;0400;2,75107;
031227;0500;2,1845;
031227;0600;1,482;
031227;0700;1,6686;
031227;0800;2,66137;
031227;0900;4,07922;
031227;1000;3,87384;
031227;1100;3,41801;
031227;1200;3,18159;
031227;1300;2,99216;
031227;1400;2,93462;
031227;1500;2,75825;
031227;1600;3,1605;
031227;1700;3,78236;
031227;1800;4,02702;
031227;1900;3,91975;
031227;2000;3,57519;
031227;2100;3,43524;
031227;2200;3,53769;
031227;2300;3,17661;
031228;0000;2,61167;
031228;0100;1,80317;
031228;0200;1,94319;
031228;0300;1,2185;
031228;0400;1,31917;
031228;0500;0,994617;
031228;0600;0,915832;
031228;0700;0,343631;
031228;0800;0,33249;
031228;0900;1,16117;
031228;1000;1,46553;
031228;1100;2,02924;
031228;1200;2,90595;
031228;1300;2,33028;
031228;1400;2,98436;
031228;1500;3,01128;
031228;1600;3,09392;
031228;1700;3,18549;
031228;1800;3,45682;
031228;1900;2,96018;
031228;2000;1,10043;
031228;2100;0,529676;
031228;2200;0,242745;
031228;2300;0,379845;
031229;0000;0,816875;
031229;0100;0,660645;
031229;0200;0,491299;
031229;0300;0,329982;
031229;0400;1,36891;
031229;0500;1,00591;
031229;0600;0,208859;
031229;0700;0,295494;
031229;0800;1,11201;
031229;0900;1,32355;
031229;1000;2,17936;
031229;1100;2,77802;
031229;1200;2,92019;
031229;1300;2,99331;
031229;1400;3,73547;
031229;1500;3,6935;
031229;1600;4,71625;
031229;1700;4,82098;
031229;1800;3,7998;
031229;1900;2,80834;
031229;2000;1,0669;
031229;2100;1,17374;
031229;2200;0,449137;
031229;2300;0,9203;
031230;0000;0,807631;
031230;0100;0,857485;
031230;0200;0,947537;
031230;0300;0,725167;
031230;0400;0,294321;
031230;0500;0,848825;
031230;0600;0,291041;
031230;0700;0,532613;
031230;0800;0,752063;
031230;0900;0,9519;
031230;1000;1,3012;
031230;1100;1,7506;
031230;1200;2,46008;
031230;1300;2,94218;
031230;1400;3,58006;
031230;1500;4,08022;
031230;1600;4,35825;
031230;1700;4,5556;
031230;1800;3,88379;
031230;1900;2,70227;
031230;2000;1,62817;
031230;2100;1,30383;
031230;2200;0,518532;
031230;2300;1,04222;
031231;0000;1,10645;
031231;0100;0,943192;
031231;0200;0,350766;
031231;0300;0,122224;
031231;0400;0,627829;
031231;0500;0,348565;
031231;0600;0,290816;
031231;0700;0,655604;
031231;0800;1,08404;
031231;0900;1,37569;
031231;1000;1,92756;
031231;1100;2,64556;
031231;1200;3,78461;
031231;1300;4,11867;
031231;1400;4,55357;
031231;1500;4,67148;
031231;1600;4,37626;
031231;1700;3,95591;
031231;1800;3,66994;
031231;1900;2,94249;
031231;2000;1,68571;
031231;2100;1,15237;
031231;2200;0,440707;
031231;2300;0,612075;
040101;0000;1,0414;
040101;0100;0,993754;
040101;0200;0,484986;
040101;0300;0,282329;
040101;0400;0,0530269;
040101;0500;0,00978911;
040101;0600;0,336135;
040101;0700;0,150177;
040101;0800;1,01736;
040101;0900;1,22457;
040101;1000;1,24649;
040101;1100;2,4127;
040101;1200;2,98787;
040101;1300;3,29466;
040101;1400;3,52125;
040101;1500;4,0013;
040101;1600;4,55613;
040101;1700;4,41637;
040101;1800;3,44695;
040101;1900;2,39359;
040101;2000;1,27387;
040101;2100;0,678842;
040101;2200;0,686502;
040101;2300;1,37334;
040102;0000;1,02738;
040102;0100;0,694521;
040102;0200;0,618108;
040102;0300;0,269778;
040102;0400;0,287825;
040102;0500;;
040102;0600;;
040102;0700;0,835064;
040102;0800;0,832273;
040102;0900;1,27184;
040102;1000;1,3404;
040102;1100;2,27821;
040102;1200;2,4533;
040102;1300;2,96354;
040102;1400;3,55852;
040102;1500;3,76202;
040102;1600;4,1511;
040102;1700;4,69884;
040102;1800;3,85045;
040102;1900;2,17994;
040102;2000;1,62958;
040102;2100;1,1504;
040102;2200;0,662579;
040102;2300;0,929688;
040103;0000;0,865664;
040103;0100;1,09254;
040103;0200;1,07508;
040103;0300;0,267332;
040103;0400;0,0947291;
040103;0500;0,280339;
040103;0600;0,632504;
040103;0700;0,153569;
040103;0800;0,922166;
040103;0900;1,051;
040103;1000;1,48065;
040103;1100;2,22635;
040103;1200;3,06708;
040103;1300;3,14671;
040103;1400;3,44574;
040103;1500;4,1513;
040103;1600;4,36609;
040103;1700;4,54596;
040103;1800;3,83676;
040103;1900;2,74691;
040103;2000;1,75159;
040103;2100;0,488025;
040103;2200;0,866014;
040103;2300;1,33936;
040104;0000;1,70707;
040104;0100;1,68404;
040104;0200;0,88872;
040104;0300;0,272008;
040104;0400;0,469159;
040104;0500;0,411832;
040104;0600;0,274809;
040104;0700;0,741692;
040104;0800;0,887563;
040104;0900;1,07526;
040104;1000;1,38556;
040104;1100;2,0355;
040104;1200;2,62463;
040104;1300;3,72809;
040104;1400;4,43008;
040104;1500;4,53011;
040104;1600;4,79313;
040104;1700;4,34858;
040104;1800;3,6711;
040104;1900;3,00319;
040104;2000;2,01634;
040104;2100;1,53783;
040104;2200;0,914268;
040104;2300;1,46418;
040105;0000;1,43457;
040105;0100;1,0813;
040105;0200;0,614;
040105;0300;0,371689;
040105;0400;0,181553;
040105;0500;0,775187;
040105;0600;0,823954;
040105;0700;1,50396;
040105;0800;0,967209;
040105;0900;0,57023;
040105;1000;1,18846;
040105;1100;2,41734;
040105;1200;2,37052;
040105;1300;2,69314;
040105;1400;2,97539;
040105;1500;3,53065;
040105;1600;3,4973;
040105;1700;4,01336;
040105;1800;3,549;
040105;1900;3,36712;
040105;2000;2,18206;
040105;2100;0,597428;
040105;2200;0,480776;
040105;2300;0,303196;
040106;0000;1,20987;
040106;0100;0,946563;
040106;0200;0,72042;
040106;0300;0,162928;
040106;0400;1,01547;
040106;0500;0,706771;
040106;0600;1,12773;
040106;0700;0,899297;
040106;0800;1,17486;
040106;0900;1,43553;
040106;1000;1,50601;
040106;1100;2,27021;
040106;1200;3,1106;
040106;1300;3,41201;
040106;1400;3,88768;
040106;1500;4,97805;
040106;1600;4,42458;
040106;1700;4,04568;
040106;1800;4,14847;
040106;1900;3,1654;
040106;2000;1,88327;
040106;2100;0,98051;
040106;2200;0,436762;
040106;2300;0,716808;
040107;0000;0,623936;
040107;0100;0,352788;
040107;0200;0,649447;
040107;0300;0,230937;
040107;0400;0,093859;
040107;0500;0,219036;
040107;0600;0,367835;
040107;0700;0,667628;
040107;0800;1,25359;
040107;0900;1,14402;
040107;1000;2,22529;
040107;1100;2,81439;
040107;1200;2,97654;
040107;1300;3,31596;
040107;1400;3,55911;
040107;1500;4,02353;
040107;1600;4,281;
040107;1700;3,87563;
040107;1800;3,81207;
040107;1900;2,65533;
040107;2000;1,50275;
040107;2100;0,746243;
040107;2200;1,01488;
040107;2300;0,840428;
040108;0000;0,799911;
040108;0100;1,22364;
040108;0200;0,966418;
040108;0300;0,14491;
040108;0400;0,196525;
040108;0500;0,290843;
040108;0600;0,410561;
040108;0700;0,0498185;
040108;0800;0,805365;
040108;0900;1,75845;
040108;1000;2,25558;
040108;1100;3,04681;
040108;1200;3,02594;
040108;1300;3,63831;
040108;1400;4,20138;
040108;1500;4,10474;
040108;1600;4,41739;
040108;1700;3,75546;
040108;1800;3,29933;
040108;1900;2,46371;
040108;2000;1,13074;
040108;2100;0,811667;
040108;2200;0,698496;
040108;2300;0,692039;
040109;0000;0,866098;
040109;0100;0,322712;
040109;0200;1,13538;
040109;0300;0,89011;
040109;0400;1,34113;
040109;0500;1,20751;
040109;0600;0,0926341;
040109;0700;0,0499535;
040109;0800;0,920341;
040109;0900;1,4425;
040109;1000;1,39122;
040109;1100;2,24969;
040109;1200;3,14052;
040109;1300;2,9107;
040109;1400;3,08644;
040109;1500;3,31824;
040109;1600;3,51982;
040109;1700;3,51279;
040109;1800;3,78618;
040109;1900;2,415;
040109;2000;1,75357;
040109;2100;0,461911;
040109;2200;0,467437;
040109;2300;0,323684;
040110;0000;0,476991;
040110;0100;0,758155;
040110;0200;0,829679;
040110;0300;0,682342;
040110;0400;1,20005;
040110;0500;1,1067;
040110;0600;0,926633;
040110;0700;1,14698;
040110;0800;0,725574;
040110;0900;1,26096;
040110;1000;1,62342;
040110;1100;2,4921;
040110;1200;2,55117;
040110;1300;2,80922;
040110;1400;3,05935;
