FECHA (YYMMDD);HORA (HHMM);;
031226;1200;26,2583;
031226;1300;26,7666;
031226;1400;27,2166;
031226;1500;27,65;
031226;1600;27,2166;
031226;1700;26,6166;
031226;1800;24,8583;
031226;1900;22,625;
031226;2000;20,0416;
031226;2100;18,2583;
031226;2200;17,075;
031226;2300;16,2583;
031227;0000;15,5166;
031227;0100;14,925;
031227;0200;14,1583;
031227;0300;13,225;
031227;0400;12,6;
031227;0500;11,9833;
031227;0600;12,6167;
031227;0700;14,6667;
031227;0800;16,2333;
031227;0900;18,0916;
031227;1000;19,2083;
031227;1100;21,2666;
031227;1200;23,1333;
031227;1300;24,625;
031227;1400;25,6833;
031227;1500;26,6416;
031227;1600;26,7416;
031227;1700;26,5416;
031227;1800;25,875;
031227;1900;23,7;
031227;2000;21,1917;
031227;2100;19,5083;
031227;2200;18,1083;
031227;2300;16,95;
031228;0000;15,9083;
031228;0100;15,0917;
031228;0200;14,2666;
031228;0300;13,4083;
031228;0400;12,85;
031228;0500;12,5417;
031228;0600;13,925;
031228;0700;17,4083;
031228;0800;19,5416;
031228;0900;21,8333;
031228;1000;24,5417;
031228;1100;26,4;
031228;1200;28,4333;
031228;1300;29,5333;
031228;1400;30,4083;
031228;1500;30,95;
031228;1600;30,9166;
031228;1700;30,175;
031228;1800;28,7666;
031228;1900;25,95;
031228;2000;22,9;
031228;2100;21,1083;
031228;2200;20,2166;
031228;2300;19,4417;
031229;0000;18,6333;
031229;0100;17,6917;
031229;0200;16,9;
031229;0300;15,875;
031229;0400;15,3;
031229;0500;15,175;
031229;0600;16,225;
031229;0700;18,8833;
031229;0800;20,8916;
031229;0900;22,5;
031229;1000;24,9916;
031229;1100;25,9417;
031229;1200;27,4167;
031229;1300;27,9833;
031229;1400;28,6166;
031229;1500;28,6;
031229;1600;27,8167;
031229;1700;26,1083;
031229;1800;24,35;
031229;1900;22,5;
031229;2000;21,55;
031229;2100;20,7166;
031229;2200;19,9333;
031229;2300;19,0417;
031230;0000;17,85;
031230;0100;17,1833;
031230;0200;16,4833;
031230;0300;15,925;
031230;0400;15,5166;
031230;0500;14,8167;
031230;0600;15,9583;
031230;0700;19,1083;
031230;0800;21,225;
031230;0900;23,6083;
031230;1000;25,9833;
031230;1100;27,8416;
031230;1200;29,2666;
031230;1300;30,05;
031230;1400;30,0667;
031230;1500;30,05;
031230;1600;29,6;
031230;1700;27,95;
031230;1800;26,2083;
031230;1900;23,9417;
031230;2000;22,175;
031230;2100;21,0833;
031230;2200;20,2333;
031230;2300;19,35;
031231;0000;18,4916;
031231;0100;17,775;
031231;0200;17,3;
031231;0300;16,5333;
031231;0400;16,2583;
031231;0500;15,6583;
031231;0600;16,9666;
031231;0700;19,6917;
031231;0800;22,4083;
031231;0900;24,4417;
031231;1000;26,5;
031231;1100;27,8167;
031231;1200;28,4916;
031231;1300;28,7833;
031231;1400;28,6833;
031231;1500;28,8666;
031231;1600;28,3083;
031231;1700;27,325;
031231;1800;25,975;
031231;1900;24,1333;
031231;2000;22,025;
031231;2100;20,8167;
031231;2200;20,0083;
031231;2300;19,3916;
040101;0000;18,3833;
040101;0100;17,65;
040101;0200;17,25;
040101;0300;16,7916;
040101;0400;15,9833;
040101;0500;15,6416;
040101;0600;17,1;
040101;0700;19,275;
040101;0800;22,1416;
040101;0900;24,4833;
040101;1000;27,0916;
040101;1100;28,4083;
040101;1200;29,4;
040101;1300;30,2166;
040101;1400;30,3916;
040101;1500;30,3916;
040101;1600;29,9;
040101;1700;28,5083;
040101;1800;26,8666;
040101;1900;24,5916;
040101;2000;22,525;
040101;2100;21,65;
040101;2200;20,8333;
040101;2300;20,075;
040102;0000;19,1583;
040102;0100;18,025;
040102;0200;17,4;
040102;0300;16,7416;
040102;0400;16,25;
040102;0500;16,4167;
040102;0600;17,7083;
040102;0700;20,2083;
040102;0800;22,6416;
040102;0900;25,6;
040102;1000;27,8083;
040102;1100;29,9333;
040102;1200;30,95;
040102;1300;32,2583;
040102;1400;32,7083;
040102;1500;32,1;
040102;1600;31,6416;
040102;1700;30,2583;
040102;1800;28,2916;
040102;1900;25,7666;
040102;2000;23,0833;
040102;2100;22;
040102;2200;21,75;
040102;2300;20,7;
040103;0000;20,2166;
040103;0100;18,9417;
040103;0200;16,7916;
040103;0300;16,7666;
040103;0400;16,1333;
040103;0500;15,65;
040103;0600;16,975;
040103;0700;20,4583;
040103;0800;23,3167;
040103;0900;25,3416;
040103;1000;28,0333;
040103;1100;29,9083;
040103;1200;30,7833;
040103;1300;31,3666;
040103;1400;31,6917;
040103;1500;31,4666;
040103;1600;31,1166;
040103;1700;29,5083;
040103;1800;28,2416;
040103;1900;25,8333;
040103;2000;23,1;
040103;2100;21,9916;
040103;2200;21,1917;
040103;2300;20,5416;
040104;0000;19,4417;
040104;0100;17,8167;
040104;0200;16,8666;
040104;0300;16,5416;
040104;0400;15,625;
040104;0500;15,125;
040104;0600;16,2333;
040104;0700;18,4583;
040104;0800;21,2083;
040104;0900;24,1;
040104;1000;26,775;
040104;1100;28,675;
040104;1200;30,125;
040104;1300;30,3;
040104;1400;30,2166;
040104;1500;29,975;
040104;1600;29,7083;
040104;1700;28,0416;
040104;1800;25,9;
040104;1900;23,5416;
040104;2000;21,2333;
040104;2100;20,0667;
040104;2200;18,8583;
040104;2300;17,975;
040105;0000;17,5166;
040105;0100;17,3416;
040105;0200;16,4417;
040105;0300;15,525;
040105;0400;15,3083;
040105;0500;14,65;
040105;0600;16,15;
040105;0700;19,1166;
040105;0800;20,6416;
040105;0900;23,2583;
040105;1000;25,8916;
040105;1100;27,675;
040105;1200;29,0166;
040105;1300;30,0833;
040105;1400;30,825;
040105;1500;31,2166;
040105;1600;30,9167;
040105;1700;29,6083;
040105;1800;28,6833;
040105;1900;26,725;
040105;2000;24,8083;
040105;2100;23,475;
040105;2200;22,2833;
040105;2300;21,2416;
040106;0000;20,1083;
040106;0100;19,2166;
040106;0200;18,5667;
040106;0300;17,8083;
040106;0400;17,7666;
040106;0500;17,2416;
040106;0600;18,2916;
040106;0700;22,2083;
040106;0800;23,0166;
040106;0900;25;
040106;1000;26,775;
040106;1100;27,8833;
040106;1200;29,1833;
040106;1300;30,225;
040106;1400;30,4083;
040106;1500;29,9417;
040106;1600;29,2833;
040106;1700;28,3916;
040106;1800;26,525;
040106;1900;24,0166;
040106;2000;21,5916;
040106;2100;20,5916;
040106;2200;19,525;
040106;2300;18,6583;
040107;0000;17,7333;
040107;0100;16,5833;
040107;0200;16,2;
040107;0300;15,7167;
040107;0400;15,6583;
