FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090203;1200;;;5,37498;
090203;1300;;;5,37498;
090203;1400;;;5,44166;
090203;1500;;;5,52499;
090203;1600;;;5,51665;
090203;1700;;;5,43333;
090203;1800;;;5,39165;
090203;1900;;;5,56666;
090203;2000;;;5,51665;
090203;2100;;;5,48333;
090203;2200;;;5,47498;
090203;2300;;;5,49165;
090204;0000;;;5,49165;
090204;0100;;;5,54166;
090204;0200;;;5,55833;
090204;0300;;;5,56666;
090204;0400;;;5,55555;
090204;0500;;;5,55833;
090204;0600;;;5,58333;
090204;0700;;;5,58333;
090204;0800;;;5,61665;
090204;0900;;;5,47498;
090204;1000;;;5,45833;
090204;1100;;;5,46666;
090204;1200;;;5,49165;
090204;1300;;;5,55;
090204;1400;;;5,55833;
090204;1500;;;5,49165;
090204;1600;;;5,49165;
090204;1700;;;5,5;
090204;1800;;;5,49998;
090204;1900;;;5,5;
090204;2000;;;5,52499;
090204;2100;;;5,49165;
090204;2200;;;5,54166;
090204;2300;;;5,51665;
090205;0000;;;5,55;
090205;0100;;;5,55833;
090205;0200;;;5,575;
090205;0300;;;5,57777;
090205;0400;;;5,56667;
090205;0500;;;5,63332;
090205;0600;;;5,7;
090205;0700;;;5,675;
090205;0800;;;5,48333;
090205;0900;;;5,47498;
090205;1000;;;5,46666;
090205;1100;;;5,31818;
090205;1200;;;2,01;
090205;1300;;;1,525;
090205;1400;1,6;;;
090205;1500;1,6;;;
090205;1600;1,5;;;
090205;1700;1,5;;;
090205;1800;1,5;;;
090205;1900;1,5;;;
090205;2000;1,5;;;
090205;2100;1,6;;;
090205;2200;1,5;;;
090205;2300;1,5;;;
090206;0000;1,6;;;
090206;0100;1,4;;;
090206;0200;1,2;;;
090206;0300;1,2;;;
090206;0400;1,1;;;
090206;0500;1,1;;;
090206;0600;1,2;;;
090206;0700;1,2;;;
090206;0800;1;;;
090206;0900;1;;;
090206;1000;0,9;;;
090206;1100;0,799996;;;
090206;1200;0,5;;;
090206;1300;0,2;;;
090206;1400;0,0999998;;;
090206;1500;0,0999998;;;
090206;1600;0,0999998;;;
090206;1700;0,0999998;;;
090206;1800;0,0999998;;;
090206;1900;0,0999998;;;
090206;2000;0,0999998;;;
090206;2100;0,0999998;;;
090206;2200;0,0999998;;;
090206;2300;0,2;;;
090207;0000;0,3;;;
090207;0100;0,5;;;
090207;0200;0,7;;;
090207;0300;0,799996;;;
090207;0400;0,799996;;;
090207;0500;0,799996;;;
090207;0600;0,799996;;;
090207;0700;0,9;;;
090207;0800;0,9;;;
090207;0900;0,799996;;;
090207;1000;0,799996;;;
090207;1100;0,599998;;;
090207;1200;0,3;;;
090207;1300;0,0999998;;;
090207;1400;0,0999998;;;
090207;1500;0,0999998;;;
090207;1600;0,0999998;;;
090207;1700;0,0999998;;;
090207;1800;0,0999998;;;
090207;1900;0,0999998;;;
090207;2000;0,0999998;;;
090207;2100;0,0999998;;;
090207;2200;0,0999998;;;
090207;2300;0,2;;;
090208;0000;0,4;;;
090208;0100;0,5;;;
090208;0200;0,799996;;;
090208;0300;0,799996;;;
090208;0400;0,9;;;
090208;0500;1;;;
090208;0600;0,9;;;
090208;0700;1;;;
090208;0800;1;;;
090208;0900;0,799996;;;
090208;1000;0,599998;;;
090208;1100;0,3;;;
090208;1200;0,0999998;;;
090208;1300;0,0999998;;;
090208;1400;0,0999998;;;
090208;1500;0,0999998;;;
090208;1600;0,0999998;;;
090208;1700;0,0999998;;;
090208;1800;0,0999998;;;
090208;1900;0,0999998;;;
090208;2000;0,0999998;;;
090208;2100;0,0999998;;;
090208;2200;0,0999998;;;
090208;2300;0,0999998;;;
090209;0000;0,0999998;;;
090209;0100;0,0999998;;;
090209;0200;0,2;;;
090209;0300;0,3;;;
090209;0400;0,4;;;
090209;0500;0,599998;;;
090209;0600;0,7;;;
090209;0700;0,7;;;
090209;0800;0,7;;;
090209;0900;0,7;;;
090209;1000;0,5;;;
090209;1100;0,3;;;
090209;1200;0,0999998;;;
090209;1300;0,0999998;;;
090209;1400;0,0999998;;;
090209;1500;0,0999998;;;
090209;1600;0,0999998;;;
090209;1700;0,0999998;;;
090209;1800;0,0999998;;;
090209;1900;0,0999998;;;
090209;2000;0,0999998;;;
090209;2100;0,0999998;;;
090209;2200;0,0999998;;;
090209;2300;0,2;;;
090210;0000;0,4;;;
090210;0100;0,5;;;
090210;0200;0,599998;;;
090210;0300;0,599998;;;
090210;0400;0,7;;;
090210;0500;0,7;;;
090210;0600;0,7;;;
090210;0700;0,799996;;;
090210;0800;0,7;;;
090210;0900;0,7;;;
090210;1000;0,599998;;;
090210;1100;0,4;;;
090210;1200;0,0999998;;;
090210;1300;0,0999998;;;
090210;1400;0,0999998;;;
090210;1500;0,0999998;;;
090210;1600;0,0999998;;;
090210;1700;0,0999998;;;
090210;1800;0,0999998;;;
090210;1900;0,0999998;;;
090210;2000;0,0999998;;;
090210;2100;0,0999998;;;
090210;2200;0,0999998;;;
090210;2300;0,0999998;;;
090211;0000;0,0999998;;;
090211;0100;0,2;;;
090211;0200;0,3;;;
090211;0300;0,4;;;
090211;0400;0,599998;;;
090211;0500;0,7;;;
090211;0600;0,799996;;;
090211;0700;0,9;;;
090211;0800;0,9;;;
090211;0900;0,7;;;
090211;1000;0,5;;;
090211;1100;0,2;;;
090211;1200;0,0999998;;;
090211;1300;0,0999998;;;
090211;1400;0,0999998;;;
090211;1500;0,0999998;;;
090211;1600;0,0999998;;;
090211;1700;0,0999998;;;
090211;1800;0,0999998;;;
090211;1900;0,0999998;;;
090211;2000;0,0999998;;;
090211;2100;0,0999998;;;
090211;2200;0,0999998;;;
090211;2300;0,0999998;;;
090212;0000;0,0999998;;;
090212;0100;0,0999998;;;
090212;0200;0,0999998;;;
090212;0300;0,0999998;;;
090212;0400;0,0999998;;;
090212;0500;0,3;;;
090212;0600;0,4;;;
090212;0700;0,599998;;;
090212;0800;0,5;;;
090212;0900;0,3;;;
090212;1000;0,0999998;;;
090212;1100;0,0999998;;;
090212;1200;0,0999998;;;
090212;1300;0,0999998;;;
090212;1400;0,0999998;;;
090212;1500;0,0999998;;;
090212;1600;0,0999998;;;
090212;1700;0,0999998;;;
090212;1800;0,0999998;;;
090212;1900;0,0999998;;;
090212;2000;0,0999998;;;
090212;2100;0,0999998;;;
090212;2200;0,0999998;;;
090212;2300;0,0999998;;;
090213;0000;0,0999998;;;
090213;0100;0,0999998;;;
090213;0200;0,3;;;
090213;0300;0,4;;;
090213;0400;0,5;;;
090213;0500;0,599998;;;
090213;0600;0,599998;;;
090213;0700;0,799996;;;
090213;0800;0,7;;;
090213;0900;0,599998;;;
090213;1000;0,5;;;
090213;1100;0,3;;;
090213;1200;0,0999998;;;
090213;1300;0,0999998;;;
090213;1400;0,0999998;;;
